sid,year,date,type,stimulus,response,rt1,rt2
109,2011,2011-03-15.1546,train,3,3,6.077,7.817
109,2011,2011-03-15.1546,train,7,7,3.919,4.566
109,2011,2011-03-15.1546,train,22,22,2.284,5.282
109,2011,2011-03-15.1546,train,164,164,1.339,5.366
109,2011,2011-03-15.1546,train,50,50,1.546,4.117
109,2011,2011-03-15.1546,test,4,5,2.692,4.362
109,2011,2011-03-15.1546,test,30,20,3.855,5.697
109,2011,2011-03-15.1546,test,90,40,3.979,5.582
109,2011,2011-03-15.1546,test,3,3,4.027,4.297
109,2011,2011-03-15.1546,test,90,100,2.736,3.684
109,2011,2011-03-15.1546,test,25,10,2.443,3.083
109,2011,2011-03-15.1546,test,5,0,1.792,1.816
109,2011,2011-03-15.1546,test,30,4,0.095,1.549
109,2011,2011-03-15.1546,test,60,50,6.914,7.983
109,2011,2011-03-15.1546,test,60,40,4.777,6.016
109,2011,2011-03-15.1546,test,50,30,6.031,6.916
109,2011,2011-03-15.1546,test,60,600,5.440,9.183
109,2011,2011-03-15.1546,test,3,3,2.788,4.217
109,2011,2011-03-15.1546,test,60,20,2.976,3.999
109,2011,2011-03-15.1546,test,15,10,4.608,7.213
109,2011,2011-03-15.1546,test,60,100,1.703,2.580
109,2011,2011-03-15.1546,test,3,3,2.048,2.281
109,2011,2011-03-15.1546,test,15,6,5.188,5.416
109,2011,2011-03-15.1546,test,8,5,4.835,5.530
109,2011,2011-03-15.1546,test,8,6,2.702,3.166
109,2011,2011-03-15.1546,test,60,102,1.975,5.233
109,2011,2011-03-15.1546,test,7,9,9.317,10.463
109,2011,2011-03-15.1546,test,8,6,3.492,4.317
109,2011,2011-03-15.1546,test,90,106,1.766,5.150
109,2011,2011-03-15.1546,test,25,12,2.343,5.080
109,2011,2011-03-15.1546,test,30,80,2.572,5.030
109,2011,2011-03-15.1546,test,60,50,4.570,6.280
109,2011,2011-03-15.1546,test,15,10,3.206,5.297
109,2011,2011-03-15.1546,test,8,6,2.867,3.450
109,2011,2011-03-15.1546,test,8,8,4.667,5.250
109,2011,2011-03-15.1546,test,25,10,2.175,2.950
109,2011,2011-03-15.1546,test,3,3,1.433,1.933
109,2011,2011-03-15.1546,test,120,100,1.723,2.764
109,2011,2011-03-15.1546,test,3,3,3.852,4.764
109,2011,2011-03-15.1546,test,8,9,3.694,4.450
109,2011,2011-03-15.1546,test,30,100000,1.251,5.330
109,2011,2011-03-15.1546,test,7,6,2.095,3.566
109,2011,2011-03-15.1546,test,60,90,2.566,4.032
109,2011,2011-03-15.1546,test,20,111,3.509,7.783
109,2011,2011-03-15.1546,test,3,3,3.614,4.132
109,2011,2011-03-15.1546,test,60,100,1.752,3.480
109,2011,2011-03-15.1546,test,75,65,4.468,8.049
109,2011,2011-03-15.1546,test,20,59,1.723,5.483
109,2011,2011-03-15.1546,test,90,100,2.662,6.816
109,2011,2011-03-15.1546,test,15,10,1.886,3.283
109,2011,2011-03-15.1546,test,90,100,2.010,3.599
109,2011,2011-03-15.1546,test,15,9,2.866,3.432
109,2011,2011-03-15.1546,test,15,8,4.288,4.830
109,2011,2011-03-15.1546,test,90,120,1.015,4.180
109,2011,2011-03-15.1546,test,30,50,2.967,4.399
109,2011,2011-03-15.1546,test,30,11,2.576,3.981
109,2011,2011-03-15.1546,test,25,41,3.176,4.414
109,2011,2011-03-15.1546,test,8,6,4.304,4.998
109,2011,2011-03-15.1546,test,8,5,2.551,3.049
109,2011,2011-03-15.1546,test,7,6,2.669,3.149
109,2011,2011-03-15.1546,test,30,112,4.855,10.030
109,2011,2011-03-15.1546,test,15,10,3.078,5.832
109,2011,2011-03-15.1546,test,20,12,3.660,4.666
109,2011,2011-03-15.1546,test,50,40,2.193,3.232
109,2011,2011-03-15.1546,test,8,6,2.641,3.116
109,2011,2011-03-15.1546,test,15,10,2.940,3.764
