sid,year,date,type,stimulus,response,rt1,rt2
183,2011,2011-03-15.1517,train,3,9,3.870,5.080
183,2011,2011-03-15.1517,train,7,7,1.704,2.538
183,2011,2011-03-15.1517,train,22,22,3.259,4.644
183,2011,2011-03-15.1517,train,164,164,1.885,6.195
183,2011,2011-03-15.1517,train,50,50,1.281,4.274
183,2011,2011-03-15.1517,test,40,86,3.303,5.392
183,2011,2011-03-15.1517,test,30,52,1.648,5.912
183,2011,2011-03-15.1517,test,75,75,1.844,3.256
183,2011,2011-03-15.1517,test,120,100,2.293,4.943
183,2011,2011-03-15.1517,test,15,5,4.011,4.792
183,2011,2011-03-15.1517,test,20,6,2.562,3.373
183,2011,2011-03-15.1517,test,7,3,3.642,4.308
183,2011,2011-03-15.1517,test,120,59,2.741,4.492
183,2011,2011-03-15.1517,test,15,8,2.654,3.189
183,2011,2011-03-15.1517,test,30,10,1.903,3.122
183,2011,2011-03-15.1517,test,5,14,1.475,4.392
183,2011,2011-03-15.1517,test,30,115,1.250,2.388
183,2011,2011-03-15.1517,test,50,26,1.748,2.688
183,2011,2011-03-15.1517,test,60,19,1.290,3.039
183,2011,2011-03-15.1517,test,15,65,1.756,2.922
183,2011,2011-03-15.1517,test,8,35,1.749,3.156
183,2011,2011-03-15.1517,test,12,5,1.563,2.421
183,2011,2011-03-15.1517,test,25,8,1.781,2.405
183,2011,2011-03-15.1517,test,4,4,1.756,2.304
183,2011,2011-03-15.1517,test,90,19,1.906,4.074
183,2011,2011-03-15.1517,test,7,7,3.030,3.707
183,2011,2011-03-15.1517,test,15,1,1.426,3.624
183,2011,2011-03-15.1517,test,12,23,2.005,2.822
183,2011,2011-03-15.1517,test,30,69,1.477,3.658
183,2011,2011-03-15.1517,test,8,23,1.530,2.221
183,2011,2011-03-15.1517,test,60,23,1.804,2.688
183,2011,2011-03-15.1517,test,15,1,2.642,5.010
183,2011,2011-03-15.1517,test,25,10,0.790,1.686
183,2011,2011-03-15.1517,test,4,3,1.686,2.071
183,2011,2011-03-15.1517,test,30,26,1.414,2.471
183,2011,2011-03-15.1517,test,90,88,1.451,6.362
183,2011,2011-03-15.1517,test,25,52,1.447,2.555
183,2011,2011-03-15.1517,test,3,46,6.483,12.190
183,2011,2011-03-15.1517,test,8,9,1.843,2.438
183,2011,2011-03-15.1517,test,90,56,2.172,3.073
183,2011,2011-03-15.1517,test,40,23,1.513,2.154
183,2011,2011-03-15.1517,test,60,23,1.252,1.837
183,2011,2011-03-15.1517,test,15,78,0.757,1.520
183,2011,2011-03-15.1517,test,30,12,0.485,1.202
183,2011,2011-03-15.1517,test,60,46,0.160,1.002
183,2011,2011-03-15.1517,test,3,2,0.156,0.601
183,2011,2011-03-15.1517,test,90,12,0.665,1.403
183,2011,2011-03-15.1517,test,120,45,0.124,0.818
183,2011,2011-03-15.1517,test,30,12,1.144,1.887
183,2011,2011-03-15.1517,test,90,45,1.190,1.987
183,2011,2011-03-15.1517,test,120,2,0.841,1.820
183,2011,2011-03-15.1517,test,15,54,1.299,2.087
183,2011,2011-03-15.1517,test,90,21,1.217,1.970
183,2011,2011-03-15.1517,test,5,5,1.173,1.687
183,2011,2011-03-15.1517,test,90,453,0.832,1.469
183,2011,2011-03-15.1517,test,90,456,0.878,2.121
183,2011,2011-03-15.1517,test,75,21,0.843,2.354
183,2011,2011-03-15.1517,test,90,89,0.766,1.653
183,2011,2011-03-15.1517,test,90,12,0.752,1.587
183,2011,2011-03-15.1517,test,30,8,0.934,2.455
183,2011,2011-03-15.1517,test,8,9,0.901,1.436
183,2011,2011-03-15.1517,test,50,21,0.580,1.369
183,2011,2011-03-15.1517,test,15,9,1.385,1.921
183,2011,2011-03-15.1517,test,8,5,0.858,1.369
183,2011,2011-03-15.1517,test,90,65,1.047,1.887
183,2011,2011-03-15.1517,test,30,5,1.229,1.920
183,2011,2011-03-15.1517,test,60,5,0.804,1.953
183,2011,2011-03-15.1517,test,30,54,1.208,2.955
183,2011,2011-03-15.1517,test,3,3,3.088,3.440
183,2011,2011-03-15.1517,test,4,14,1.182,2.621
183,2011,2011-03-15.1517,test,4,4,1.284,1.737
183,2011,2011-03-15.1517,test,60,12,1.104,1.753
183,2011,2011-03-15.1517,test,120,45,1.212,1.887
183,2011,2011-03-15.1517,test,75,41,0.706,1.870
183,2011,2011-03-15.1517,test,3,3,0.986,1.302
183,2011,2011-03-15.1517,test,90,54,1.322,2.154
183,2011,2011-03-15.1517,test,5,15,1.296,5.360
183,2011,2011-03-15.1517,test,8,5,1.037,1.770
183,2011,2011-03-15.1517,test,30,45,0.583,1.503
183,2011,2011-03-15.1517,test,60,12,0.615,1.319
183,2011,2011-03-15.1517,test,8,32,1.710,2.505
183,2011,2011-03-15.1517,test,12,45,0.555,1.302
183,2011,2011-03-15.1517,test,12,9,0.987,1.820
183,2011,2011-03-15.1517,test,8,56,0.581,1.754
183,2011,2011-03-15.1517,test,8,42,0.682,2.805
183,2011,2011-03-15.1517,test,3,3,1.154,1.452
183,2011,2011-03-15.1517,test,90,53,0.795,1.736
183,2011,2011-03-15.1517,test,8,5,1.209,1.753
183,2011,2011-03-15.1517,test,7,4,1.998,2.572
183,2011,2011-03-15.1517,test,8,9,1.514,1.954
183,2011,2011-03-15.1517,test,25,10,1.933,2.939
183,2011,2011-03-15.1517,test,120,100,1.581,2.990
183,2011,2011-03-15.1517,test,50,789,1.190,2.856
183,2011,2011-03-15.1517,test,25,96,1.324,2.237
183,2011,2011-03-15.1517,test,60,65,0.765,1.620
183,2011,2011-03-15.1517,test,40,54,0.790,1.703
183,2011,2011-03-15.1517,test,30,125,0.557,1.786
183,2011,2011-03-15.1517,test,60,543,1.209,2.956
183,2011,2011-03-15.1517,test,60,45,0.899,2.003
183,2011,2011-03-15.1517,test,15,23,1.150,1.820
183,2011,2011-03-15.1517,test,25,231,0.760,2.271
183,2011,2011-03-15.1517,test,30,456,1.271,2.805
183,2011,2011-03-15.1517,test,3,3,1.640,1.937
183,2011,2011-03-15.1517,test,3,3,1.158,1.436
183,2011,2011-03-15.1517,test,3,23,1.048,1.620
183,2011,2011-03-15.1517,test,7,5,1.107,1.486
183,2011,2011-03-15.1517,test,90,45,1.315,1.954
183,2011,2011-03-15.1517,test,15,45,1.103,1.987
183,2011,2011-03-15.1517,test,12,12,0.378,1.202
183,2011,2011-03-15.1517,test,3,3,1.238,1.586
183,2011,2011-03-15.1517,test,90,10,1.123,3.357
183,2011,2011-03-15.1517,test,8,54,1.320,2.154
183,2011,2011-03-15.1517,test,8,9,1.316,1.737
183,2011,2011-03-15.1517,test,60,25,0.778,1.569
183,2011,2011-03-15.1517,test,60,12,1.055,1.720
183,2011,2011-03-15.1517,test,3,3,0.949,1.252
183,2011,2011-03-15.1517,test,30,10,0.655,1.620
183,2011,2011-03-15.1517,test,4,1,0.938,1.837
183,2011,2011-03-15.1517,test,12,100,1.043,2.455
183,2011,2011-03-15.1517,test,30,23,1.171,1.820
183,2011,2011-03-15.1517,test,60,15,1.213,2.137
183,2011,2011-03-15.1517,test,7,10,1.634,3.190
183,2011,2011-03-15.1517,test,75,56,1.599,3.624
183,2011,2011-03-15.1517,test,15,89,1.157,1.803
183,2011,2011-03-15.1517,test,5,5,1.128,1.686
183,2011,2011-03-15.1517,test,15,54,1.080,1.954
183,2011,2011-03-15.1517,test,5,6,1.684,2.087
183,2011,2011-03-15.1517,test,60,100,1.276,2.739
183,2011,2011-03-15.1517,test,30,43,1.919,6.296
183,2011,2011-03-15.1517,test,60,65,1.310,2.104
183,2011,2011-03-15.1517,test,30,23,1.563,2.221
183,2011,2011-03-15.1517,test,3,3,1.500,1.820
183,2011,2011-03-15.1517,test,60,0,1.582,3.156
183,2011,2011-03-15.1517,test,15,55,1.376,3.039
183,2011,2011-03-15.1517,test,60,2,0.688,2.238
183,2011,2011-03-15.1517,test,20,26,1.256,2.190
183,2011,2011-03-15.1517,test,90,59,1.859,3.407
183,2011,2011-03-15.1517,test,15,50,2.411,3.273
183,2011,2011-03-15.1517,test,20,10,1.512,2.154
183,2011,2011-03-15.1517,test,90,56,2.757,3.490
183,2011,2011-03-15.1517,test,8,6,1.235,1.686
183,2011,2011-03-15.1517,test,4,4,1.385,1.904
183,2011,2011-03-15.1517,test,8,4,1.327,1.787
183,2011,2011-03-15.1517,test,7,5,1.154,1.603
183,2011,2011-03-15.1517,test,4,4,1.101,1.536
183,2011,2011-03-15.1517,test,3,5,1.508,2.388
183,2011,2011-03-15.1517,test,3,3,1.150,1.486
183,2011,2011-03-15.1517,test,75,10,1.070,1.837
183,2011,2011-03-15.1517,test,15,20,1.558,2.555
183,2011,2011-03-15.1517,test,8,6,1.642,2.187
183,2011,2011-03-15.1517,test,75,32,1.188,1.920
183,2011,2011-03-15.1517,test,8,52,1.234,2.004
183,2011,2011-03-15.1517,test,7,23,2.285,3.289
