sid,year,date,type,stimulus,response,rt1,rt2
188,2011,2011-03-15.1726,train,3,3,7.116,9.421
188,2011,2011-03-15.1726,train,7,7,2.923,4.191
188,2011,2011-03-15.1726,train,22,22,0.852,2.974
188,2011,2011-03-15.1726,train,164,164,2.849,6.997
188,2011,2011-03-15.1726,train,50,50,1.629,3.891
188,2011,2011-03-15.1726,test,90,26,4.053,6.829
188,2011,2011-03-15.1726,test,90,53,3.294,5.243
188,2011,2011-03-15.1726,test,3,3,2.729,3.674
188,2011,2011-03-15.1726,test,40,42,5.414,7.264
188,2011,2011-03-15.1726,test,40,32,4.012,6.679
188,2011,2011-03-15.1726,test,3,3,2.419,2.939
188,2011,2011-03-15.1726,test,12,10,2.847,4.392
188,2011,2011-03-15.1726,test,40,23,2.445,4.743
188,2011,2011-03-15.1726,test,50,52,2.261,4.726
188,2011,2011-03-15.1726,test,8,5,2.370,3.189
188,2011,2011-03-15.1726,test,8,7,3.200,4.542
188,2011,2011-03-15.1726,test,90,100,4.408,6.646
188,2011,2011-03-15.1726,test,7,8,3.992,5.911
188,2011,2011-03-15.1726,test,12,11,3.255,4.943
188,2011,2011-03-15.1726,test,3,3,2.143,2.722
188,2011,2011-03-15.1726,test,120,59,2.050,4.475
188,2011,2011-03-15.1726,test,40,45,2.006,4.158
188,2011,2011-03-15.1726,test,5,8,5.766,7.414
188,2011,2011-03-15.1726,test,15,23,1.734,2.839
188,2011,2011-03-15.1726,test,3,3,1.229,1.686
188,2011,2011-03-15.1726,test,30,46,2.981,5.611
188,2011,2011-03-15.1726,test,30,24,1.801,6.546
188,2011,2011-03-15.1726,test,90,36,3.853,5.343
188,2011,2011-03-15.1726,test,60,69,3.165,4.893
188,2011,2011-03-15.1726,test,15,52,1.694,4.074
188,2011,2011-03-15.1726,test,120,70,3.386,7.180
188,2011,2011-03-15.1726,test,3,3,2.135,2.956
188,2011,2011-03-15.1726,test,12,45,1.698,3.223
188,2011,2011-03-15.1726,test,4,56,2.257,5.227
188,2011,2011-03-15.1726,test,12,52,1.931,4.125
188,2011,2011-03-15.1726,test,60,63,3.667,5.160
188,2011,2011-03-15.1726,test,30,52,1.977,4.158
188,2011,2011-03-15.1726,test,12,30,1.610,2.889
188,2011,2011-03-15.1726,test,60,50,1.321,2.521
188,2011,2011-03-15.1726,test,7,4,1.940,3.825
188,2011,2011-03-15.1726,test,8,7,3.339,4.910
188,2011,2011-03-15.1726,test,5,5,3.227,3.958
188,2011,2011-03-15.1726,test,60,43,1.693,3.741
188,2011,2011-03-15.1726,test,90,49,3.254,5.962
188,2011,2011-03-15.1726,test,4,4,2.619,3.256
188,2011,2011-03-15.1726,test,3,3,1.736,2.171
188,2011,2011-03-15.1726,test,4,4,2.636,3.256
188,2011,2011-03-15.1726,test,12,20,2.474,8.233
188,2011,2011-03-15.1726,test,60,59,1.344,4.175
188,2011,2011-03-15.1726,test,30,63,2.383,4.109
188,2011,2011-03-15.1726,test,60,69,2.296,3.958
188,2011,2011-03-15.1726,test,30,82,2.977,5.761
188,2011,2011-03-15.1726,test,5,6,3.910,5.494
188,2011,2011-03-15.1726,test,40,42,3.167,7.815
188,2011,2011-03-15.1726,test,12,20,2.582,3.908
188,2011,2011-03-15.1726,test,75,100,2.113,4.625
188,2011,2011-03-15.1726,test,8,24,3.358,7.848
188,2011,2011-03-15.1726,test,8,5,1.482,2.054
188,2011,2011-03-15.1726,test,50,563,1.148,7.297
188,2011,2011-03-15.1726,test,30,29,2.372,8.433
188,2011,2011-03-15.1726,test,8,53,1.490,5.761
188,2011,2011-03-15.1726,test,75,100,1.719,3.924
188,2011,2011-03-15.1726,test,3,3,1.449,2.020
188,2011,2011-03-15.1726,test,8,5,1.475,3.490
188,2011,2011-03-15.1726,test,15,20,2.639,4.626
188,2011,2011-03-15.1726,test,60,89,1.884,3.607
188,2011,2011-03-15.1726,test,30,53,1.555,5.744
188,2011,2011-03-15.1726,test,90,100,2.993,5.260
188,2011,2011-03-15.1726,test,15,20,1.675,4.158
188,2011,2011-03-15.1726,test,15,41,3.580,7.999
188,2011,2011-03-15.1726,test,30,91,1.932,6.145
188,2011,2011-03-15.1726,test,8,10,4.265,5.494
188,2011,2011-03-15.1726,test,30,20,2.705,4.509
188,2011,2011-03-15.1726,test,8,9,2.915,4.275
188,2011,2011-03-15.1726,test,4,4,2.151,2.972
188,2011,2011-03-15.1726,test,8,6,1.937,3.072
188,2011,2011-03-15.1726,test,7,7,4.855,6.663
188,2011,2011-03-15.1726,test,50,51,1.806,5.260
188,2011,2011-03-15.1726,test,30,57,1.544,6.028
188,2011,2011-03-15.1726,test,15,32,2.106,4.091
188,2011,2011-03-15.1726,test,90,53,1.706,4.826
188,2011,2011-03-15.1726,test,90,46,2.255,4.610
188,2011,2011-03-15.1726,test,120,90,1.651,3.590
188,2011,2011-03-15.1726,test,8,65,2.116,5.243
188,2011,2011-03-15.1726,test,50,53,1.326,3.306
188,2011,2011-03-15.1726,test,30,26,1.715,3.975
188,2011,2011-03-15.1726,test,60,83,1.714,3.556
188,2011,2011-03-15.1726,test,7,5,1.052,2.020
188,2011,2011-03-15.1726,test,120,100,1.610,3.908
188,2011,2011-03-15.1726,test,75,91,3.844,7.230
188,2011,2011-03-15.1726,test,8,9,2.828,3.757
188,2011,2011-03-15.1726,test,15,7,2.453,3.306
188,2011,2011-03-15.1726,test,20,84,5.482,8.065
188,2011,2011-03-15.1726,test,4,4,2.302,3.490
188,2011,2011-03-15.1726,test,15,51,1.947,4.743
188,2011,2011-03-15.1726,test,50,100,1.567,5.076
188,2011,2011-03-15.1726,test,3,3,1.377,1.937
188,2011,2011-03-15.1726,test,8,5,1.606,2.271
188,2011,2011-03-15.1726,test,90,100,1.142,5.661
188,2011,2011-03-15.1726,test,90,59,1.039,3.473
188,2011,2011-03-15.1726,test,3,3,0.988,1.887
188,2011,2011-03-15.1726,test,8,9,2.340,3.824
