sid,year,date,type,stimulus,response,rt1,rt2
133,2011,2011-03-15.1340,train,3,3,4.641,14.598
133,2011,2011-03-15.1340,train,7,7,2.380,3.385
133,2011,2011-03-15.1340,train,22,22,0.969,2.953
133,2011,2011-03-15.1340,train,164,164,2.991,5.537
133,2011,2011-03-15.1340,train,50,50,0.837,3.402
133,2011,2011-03-15.1340,test,75,12,2.336,4.902
133,2011,2011-03-15.1340,test,15,41,4.780,6.437
133,2011,2011-03-15.1340,test,4,4,1.553,2.149
133,2011,2011-03-15.1340,test,4,4,1.548,2.285
133,2011,2011-03-15.1340,test,3,3,1.809,5.036
133,2011,2011-03-15.1340,test,4,4,1.759,2.533
133,2011,2011-03-15.1340,test,12,7,1.938,3.317
133,2011,2011-03-15.1340,test,15,10,2.333,3.669
133,2011,2011-03-15.1340,test,90,100,1.746,3.566
133,2011,2011-03-15.1340,test,5,5,1.547,2.535
133,2011,2011-03-15.1340,test,8,6,2.264,2.852
133,2011,2011-03-15.1340,test,30,78,1.276,2.785
133,2011,2011-03-15.1340,test,8,50,1.677,4.150
133,2011,2011-03-15.1340,test,5,4,1.375,2.285
133,2011,2011-03-15.1340,test,30,10,1.372,2.902
133,2011,2011-03-15.1340,test,50,211,3.920,6.754
133,2011,2011-03-15.1340,test,8,5,1.536,3.552
133,2011,2011-03-15.1340,test,3,3,1.916,2.954
133,2011,2011-03-15.1340,test,3,3,1.596,1.985
133,2011,2011-03-15.1340,test,8,12,1.864,3.204
133,2011,2011-03-15.1340,test,8,52,4.118,5.386
133,2011,2011-03-15.1340,test,7,41,2.021,4.300
133,2011,2011-03-15.1340,test,60,410,3.801,6.251
133,2011,2011-03-15.1340,test,30,95,1.645,3.535
133,2011,2011-03-15.1340,test,25,12,3.200,4.119
133,2011,2011-03-15.1340,test,15,10,0.957,1.870
133,2011,2011-03-15.1340,test,20,2,5.281,9.639
133,2011,2011-03-15.1340,test,8,3,4.020,4.986
133,2011,2011-03-15.1340,test,40,19,6.148,8.705
133,2011,2011-03-15.1340,test,30,10,4.469,6.070
133,2011,2011-03-15.1340,test,25,52,2.961,7.238
133,2011,2011-03-15.1340,test,90,133,4.253,7.137
133,2011,2011-03-15.1340,test,30,144,3.254,5.420
133,2011,2011-03-15.1340,test,4,4,1.276,3.002
133,2011,2011-03-15.1340,test,4,5,1.164,1.951
133,2011,2011-03-15.1340,test,5,4,1.063,1.482
133,2011,2011-03-15.1340,test,40,144,1.212,4.335
133,2011,2011-03-15.1340,test,25,10,1.823,4.586
133,2011,2011-03-15.1340,test,30,12,1.775,3.468
133,2011,2011-03-15.1340,test,40,74,2.828,4.219
133,2011,2011-03-15.1340,test,60,100,1.091,2.599
133,2011,2011-03-15.1340,test,30,147,2.907,4.951
133,2011,2011-03-15.1340,test,60,10,1.132,1.966
133,2011,2011-03-15.1340,test,30,789,2.174,3.852
133,2011,2011-03-15.1340,test,30,410,3.132,4.253
133,2011,2011-03-15.1340,test,3,333,1.313,2.933
133,2011,2011-03-15.1340,test,60,104,3.404,5.436
133,2011,2011-03-15.1340,test,8,11,0.033,7.103
133,2011,2011-03-15.1340,test,30,741,4.220,6.937
133,2011,2011-03-15.1340,test,3,12,3.908,5.687
133,2011,2011-03-15.1340,test,7,10,1.704,3.719
133,2011,2011-03-15.1340,test,3,3,1.139,3.470
133,2011,2011-03-15.1340,test,3,3,1.214,1.901
133,2011,2011-03-15.1340,test,90,11,4.714,6.535
133,2011,2011-03-15.1340,test,20,10,1.477,2.987
133,2011,2011-03-15.1340,test,60,18,3.620,4.986
133,2011,2011-03-15.1340,test,15,1,2.756,4.603
133,2011,2011-03-15.1340,test,3,10,2.627,3.686
133,2011,2011-03-15.1340,test,8,41,1.360,5.670
133,2011,2011-03-15.1340,test,60,101,1.108,4.584
133,2011,2011-03-15.1340,test,8,12,1.516,2.385
133,2011,2011-03-15.1340,test,75,100,0.973,5.253
133,2011,2011-03-15.1340,test,75,11,1.954,3.619
133,2011,2011-03-15.1340,test,15,19,2.961,5.184
133,2011,2011-03-15.1340,test,90,16,2.024,3.569
133,2011,2011-03-15.1340,test,7,5,2.034,4.169
133,2011,2011-03-15.1340,test,3,3,1.290,1.884
133,2011,2011-03-15.1340,test,75,14,5.792,9.720
133,2011,2011-03-15.1340,test,8,123,1.784,5.703
133,2011,2011-03-15.1340,test,75,789,3.602,5.956
133,2011,2011-03-15.1340,test,5,456,1.313,9.189
133,2011,2011-03-15.1340,test,15,10,1.830,3.169
133,2011,2011-03-15.1340,test,60,475,4.078,14.892
133,2011,2011-03-15.1340,test,15,10,0.948,2.702
133,2011,2011-03-15.1340,test,50,19,4.600,8.305
133,2011,2011-03-15.1340,test,15,789,4.481,5.837
133,2011,2011-03-15.1340,test,15,14,3.759,5.319
133,2011,2011-03-15.1340,test,30,546,1.569,3.152
133,2011,2011-03-15.1340,test,120,100,1.002,2.718
133,2011,2011-03-15.1340,test,90,120,2.222,5.587
133,2011,2011-03-15.1340,test,7,520,1.629,3.202
133,2011,2011-03-15.1340,test,3,3,1.158,1.568
133,2011,2011-03-15.1340,test,40,189,1.488,4.868
133,2011,2011-03-15.1340,test,30,78456123,1.860,5.954
133,2011,2011-03-15.1340,test,4,1000,2.709,5.053
133,2011,2011-03-15.1340,test,50,78945612,4.194,8.388
133,2011,2011-03-15.1340,test,75,15678,3.840,8.255
133,2011,2011-03-15.1340,test,50,10,2.059,3.368
133,2011,2011-03-15.1340,test,60,14,1.220,2.668
133,2011,2011-03-15.1340,test,20,45,2.162,3.535
133,2011,2011-03-15.1340,test,50,55,1.581,2.735
133,2011,2011-03-15.1340,test,4,45,3.016,12.090
133,2011,2011-03-15.1340,test,20,10,3.712,4.884
133,2011,2011-03-15.1340,test,90,11,1.123,2.385
133,2011,2011-03-15.1340,test,120,100,1.340,4.186
133,2011,2011-03-15.1340,test,90,789,2.987,6.537
133,2011,2011-03-15.1340,test,90,3,1.348,10.239
