sid,year,date,type,stimulus,response,rt1,rt2
152,2011,2011-03-15.1411,train,3,3,6.475,7.640
152,2011,2011-03-15.1411,train,7,7,3.438,5.066
152,2011,2011-03-15.1411,train,22,22,1.980,3.334
152,2011,2011-03-15.1411,train,164,164,3.414,9.333
152,2011,2011-03-15.1411,train,50,50,1.465,3.500
152,2011,2011-03-15.1411,test,7,8,3.525,4.998
152,2011,2011-03-15.1411,test,15,10,4.857,6.866
152,2011,2011-03-15.1411,test,15,12,17.265,19.749
152,2011,2011-03-15.1411,test,3,3,1.847,2.950
152,2011,2011-03-15.1411,test,75,81,2.300,8.133
152,2011,2011-03-15.1411,test,90,51,5.346,9.933
152,2011,2011-03-15.1411,test,50,50,2.479,4.633
152,2011,2011-03-15.1411,test,4,3,1.849,2.316
152,2011,2011-03-15.1411,test,7,6,2.567,3.633
152,2011,2011-03-15.1411,test,60,60,2.137,3.383
152,2011,2011-03-15.1411,test,4,3,1.813,2.533
152,2011,2011-03-15.1411,test,3,3,1.202,1.683
152,2011,2011-03-15.1411,test,15,9,7.673,9.416
152,2011,2011-03-15.1411,test,120,10000,3.605,9.049
152,2011,2011-03-15.1411,test,90,100,4.527,8.766
152,2011,2011-03-15.1411,test,3,3,1.619,2.833
152,2011,2011-03-15.1411,test,15,12,3.108,6.749
152,2011,2011-03-15.1411,test,30,15,2.177,4.033
152,2011,2011-03-15.1411,test,25,19,1.443,4.550
152,2011,2011-03-15.1411,test,15,17,2.272,7.916
152,2011,2011-03-15.1411,test,90,52,2.462,4.666
152,2011,2011-03-15.1411,test,30,30,5.902,12.132
152,2011,2011-03-15.1411,test,8,5,2.172,2.850
152,2011,2011-03-15.1411,test,3,3,1.221,1.766
152,2011,2011-03-15.1411,test,75,100,1.849,3.600
152,2011,2011-03-15.1411,test,30,10,5.348,7.450
152,2011,2011-03-15.1411,test,4,4,2.941,3.517
152,2011,2011-03-15.1411,test,8,10,2.579,6.450
152,2011,2011-03-15.1411,test,8,12,2.244,3.916
152,2011,2011-03-15.1411,test,3,3,1.386,1.850
152,2011,2011-03-15.1411,test,30,16,1.595,7.083
152,2011,2011-03-15.1411,test,30,18,1.139,3.700
152,2011,2011-03-15.1411,test,90,1,1.301,5.333
152,2011,2011-03-15.1411,test,8,19,3.362,6.283
152,2011,2011-03-15.1411,test,30,18,1.466,3.150
152,2011,2011-03-15.1411,test,60,20,2.615,3.750
152,2011,2011-03-15.1411,test,60,22,1.788,4.633
152,2011,2011-03-15.1411,test,50,21,1.685,4.633
152,2011,2011-03-15.1411,test,3,3,1.311,1.716
152,2011,2011-03-15.1411,test,50,30,2.197,3.100
152,2011,2011-03-15.1411,test,75,60,2.308,3.299
152,2011,2011-03-15.1411,test,15,10,1.803,4.916
152,2011,2011-03-15.1411,test,40,15,1.865,3.533
152,2011,2011-03-15.1411,test,20,14,2.295,6.816
152,2011,2011-03-15.1411,test,75,100,1.777,4.516
152,2011,2011-03-15.1411,test,12,10,1.527,2.467
152,2011,2011-03-15.1411,test,7,7,3.743,4.600
152,2011,2011-03-15.1411,test,8,9,3.362,5.166
152,2011,2011-03-15.1411,test,20,15,2.079,4.066
152,2011,2011-03-15.1411,test,50,20,2.327,3.283
152,2011,2011-03-15.1411,test,90,32,1.814,4.850
152,2011,2011-03-15.1411,test,7,6,2.824,3.467
152,2011,2011-03-15.1411,test,8,7,4.712,6.016
152,2011,2011-03-15.1411,test,3,3,2.970,3.749
152,2011,2011-03-15.1411,test,60,100,3.359,10.432
152,2011,2011-03-15.1411,test,60,100,1.417,4.366
152,2011,2011-03-15.1411,test,60,60,2.029,3.833
152,2011,2011-03-15.1411,test,60,70,2.151,5.000
152,2011,2011-03-15.1411,test,4,4,3.297,3.866
152,2011,2011-03-15.1411,test,4,4,3.450,4.333
152,2011,2011-03-15.1411,test,3,3,1.215,1.666
152,2011,2011-03-15.1411,test,30,12,1.375,2.133
152,2011,2011-03-15.1411,test,50,22,3.685,6.183
152,2011,2011-03-15.1411,test,8,9,6.417,6.933
152,2011,2011-03-15.1411,test,20,15,2.254,4.266
152,2011,2011-03-15.1411,test,120,100,1.286,4.133
152,2011,2011-03-15.1411,test,8,15,2.148,3.416
152,2011,2011-03-15.1411,test,5,6,3.102,3.450
152,2011,2011-03-15.1411,test,120,50,4.078,4.949
152,2011,2011-03-15.1411,test,15,19,2.291,4.583
152,2011,2011-03-15.1411,test,50,30,2.767,4.816
152,2011,2011-03-15.1411,test,90,50,1.961,2.800
152,2011,2011-03-15.1411,test,30,40,3.340,5.100
152,2011,2011-03-15.1411,test,20,81,2.483,5.433
152,2011,2011-03-15.1411,test,40,24,2.845,5.450
152,2011,2011-03-15.1411,test,30,19,2.117,6.350
152,2011,2011-03-15.1411,test,60,52,2.643,4.016
152,2011,2011-03-15.1411,test,7,7,5.613,6.333
152,2011,2011-03-15.1411,test,60,50,3.658,4.633
152,2011,2011-03-15.1411,test,3,3,1.076,1.383
152,2011,2011-03-15.1411,test,3,3,0.976,1.283
152,2011,2011-03-15.1411,test,30,16,1.463,3.166
152,2011,2011-03-15.1411,test,90,90,2.467,3.350
152,2011,2011-03-15.1411,test,20,15,1.888,2.850
152,2011,2011-03-15.1411,test,25,19,1.801,2.883
152,2011,2011-03-15.1411,test,50,20,2.232,3.149
152,2011,2011-03-15.1411,test,60,60,1.669,2.600
152,2011,2011-03-15.1411,test,15,12,1.560,2.933
