sid,year,date,type,stimulus,response,rt1,rt2
79,2011,2011-03-14.0925,train,3,3,1.345,1.818
79,2011,2011-03-14.0925,train,7,7,1.254,1.951
79,2011,2011-03-14.0925,train,22,22,0.413,1.684
79,2011,2011-03-14.0925,train,164,164,2.184,7.819
79,2011,2011-03-14.0925,train,50,50,1.080,4.333
79,2011,2011-03-14.0925,test,90,51,4.227,13.354
79,2011,2011-03-14.0925,test,3,3,1.552,2.318
79,2011,2011-03-14.0925,test,30,16,4.460,6.820
79,2011,2011-03-14.0925,test,40,32,2.420,3.937
79,2011,2011-03-14.0925,test,3,3,1.644,2.034
79,2011,2011-03-14.0925,test,60,33,1.411,2.134
79,2011,2011-03-14.0925,test,120,52,2.086,5.837
79,2011,2011-03-14.0925,test,90,22,1.875,3.985
79,2011,2011-03-14.0925,test,8,6,4.467,5.236
79,2011,2011-03-14.0925,test,60,32,1.480,3.485
79,2011,2011-03-14.0925,test,3,0,1.477,1.501
79,2011,2011-03-14.0925,test,25,33,2.146,3.318
79,2011,2011-03-14.0925,test,60,23,1.925,3.118
79,2011,2011-03-14.0925,test,30,9,3.225,4.118
79,2011,2011-03-14.0925,test,20,0,0.628,0.650
79,2011,2011-03-14.0925,test,30,25,2.347,4.536
79,2011,2011-03-14.0925,test,90,33,1.117,12.555
79,2011,2011-03-14.0925,test,15,23,6.097,7.187
79,2011,2011-03-14.0925,test,50,22,1.488,9.738
79,2011,2011-03-14.0925,test,30,8,1.959,10.771
79,2011,2011-03-14.0925,test,8,6,3.596,4.219
79,2011,2011-03-14.0925,test,90,22,1.019,5.236
79,2011,2011-03-14.0925,test,8,5,2.825,3.402
79,2011,2011-03-14.0925,test,8,8,5.209,13.140
79,2011,2011-03-14.0925,test,60,6,1.934,6.970
79,2011,2011-03-14.0925,test,50,55,1.469,3.702
79,2011,2011-03-14.0925,test,90,59,1.177,5.502
79,2011,2011-03-14.0925,test,12,10,6.540,7.752
79,2011,2011-03-14.0925,test,7,9,1.667,2.968
79,2011,2011-03-14.0925,test,60,50,3.229,6.537
79,2011,2011-03-14.0925,test,12,0,3.302,3.317
79,2011,2011-03-14.0925,test,120,52,0.986,4.319
79,2011,2011-03-14.0925,test,90,33,3.020,4.286
79,2011,2011-03-14.0925,test,30,2333,0.576,4.202
79,2011,2011-03-14.0925,test,60,23,1.096,3.701
79,2011,2011-03-14.0925,test,4,4,1.939,3.635
79,2011,2011-03-14.0925,test,60,20,2.386,10.205
79,2011,2011-03-14.0925,test,30,12,1.574,7.971
79,2011,2011-03-14.0925,test,60,21,1.253,2.801
79,2011,2011-03-14.0925,test,12,6,4.997,5.419
79,2011,2011-03-14.0925,test,15,33,1.179,2.952
79,2011,2011-03-14.0925,test,8,6,5.486,5.985
79,2011,2011-03-14.0925,test,3,3,1.253,1.918
79,2011,2011-03-14.0925,test,90,23,3.472,11.173
79,2011,2011-03-14.0925,test,60,33,2.189,4.119
79,2011,2011-03-14.0925,test,3,3,1.088,1.701
79,2011,2011-03-14.0925,test,90,33,1.469,3.433
79,2011,2011-03-14.0925,test,15,6,2.676,10.304
79,2011,2011-03-14.0925,test,60,0,0.436,0.449
79,2011,2011-03-14.0925,test,5,5,4.187,5.053
79,2011,2011-03-14.0925,test,90,51,1.311,11.354
79,2011,2011-03-14.0925,test,30,55,1.845,3.852
79,2011,2011-03-14.0925,test,15,65,1.178,9.486
79,2011,2011-03-14.0925,test,15,67,4.268,9.438
79,2011,2011-03-14.0925,test,7,99,1.839,6.220
79,2011,2011-03-14.0925,test,3,3,1.053,1.851
79,2011,2011-03-14.0925,test,75,33,1.003,1.717
79,2011,2011-03-14.0925,test,3,3,0.936,1.634
79,2011,2011-03-14.0925,test,30,20,0.983,7.287
79,2011,2011-03-14.0925,test,30,12,1.682,11.656
79,2011,2011-03-14.0925,test,40,20,1.315,2.802
79,2011,2011-03-14.0925,test,15,10,4.131,5.753
79,2011,2011-03-14.0925,test,30,82,4.356,13.040
79,2011,2011-03-14.0925,test,50,23,1.493,3.802
79,2011,2011-03-14.0925,test,3,63,2.557,8.388
79,2011,2011-03-14.0925,test,15,33,1.027,3.485
79,2011,2011-03-14.0925,test,5,5,2.008,2.401
79,2011,2011-03-14.0925,test,40,33,1.088,3.569
79,2011,2011-03-14.0925,test,90,33,1.481,2.768
79,2011,2011-03-14.0925,test,15,2,1.243,2.235
79,2011,2011-03-14.0925,test,60,33,0.426,2.118
79,2011,2011-03-14.0925,test,25,31,1.102,4.169
79,2011,2011-03-14.0925,test,90,99,5.295,8.220
79,2011,2011-03-14.0925,test,12,3,2.180,2.801
79,2011,2011-03-14.0925,test,7,6,3.820,4.469
79,2011,2011-03-14.0925,test,7,5,3.377,3.969
79,2011,2011-03-14.0925,test,75,56,1.058,3.402
79,2011,2011-03-14.0925,test,8,61,5.345,14.174
79,2011,2011-03-14.0925,test,50,52,1.541,3.217
79,2011,2011-03-14.0925,test,3,3,1.212,4.636
79,2011,2011-03-14.0925,test,4,4,1.858,2.785
79,2011,2011-03-14.0925,test,30,66,1.291,3.300
79,2011,2011-03-14.0925,test,90,36,2.863,4.250
79,2011,2011-03-14.0925,test,15,10,2.421,3.885
79,2011,2011-03-14.0925,test,30,22,1.873,4.069
79,2011,2011-03-14.0925,test,3,3,0.926,1.451
79,2011,2011-03-14.0925,test,120,100,1.652,4.436
79,2011,2011-03-14.0925,test,30,20,1.170,4.386
79,2011,2011-03-14.0925,test,3,3,1.354,2.051
79,2011,2011-03-14.0925,test,60,16,2.345,5.186
