sid,year,date,type,stimulus,response,rt1,rt2
192,2011,2011-03-15.1519,train,3,3,2.994,4.002
192,2011,2011-03-15.1519,train,7,7,1.078,1.901
192,2011,2011-03-15.1519,train,22,22,1.016,2.249
192,2011,2011-03-15.1519,train,164,164,2.963,7.719
192,2011,2011-03-15.1519,train,50,50,1.402,3.099
192,2011,2011-03-15.1519,test,15,20,7.091,9.070
192,2011,2011-03-15.1519,test,50,31,14.766,17.541
192,2011,2011-03-15.1519,test,5,5,5.601,6.453
192,2011,2011-03-15.1519,test,120,100,7.237,9.987
192,2011,2011-03-15.1519,test,25,11,5.074,6.768
192,2011,2011-03-15.1519,test,50,30,7.065,9.437
192,2011,2011-03-15.1519,test,15,10,2.253,3.669
192,2011,2011-03-15.1519,test,5,5,3.106,3.785
192,2011,2011-03-15.1519,test,90,83,3.986,8.736
192,2011,2011-03-15.1519,test,20,20,10.673,12.507
192,2011,2011-03-15.1519,test,120,100,1.695,3.517
192,2011,2011-03-15.1519,test,3,3,3.147,3.900
192,2011,2011-03-15.1519,test,30,30,5.710,6.785
192,2011,2011-03-15.1519,test,3,3,2.477,3.016
192,2011,2011-03-15.1519,test,60,24,3.324,7.137
192,2011,2011-03-15.1519,test,50,18,3.085,6.437
192,2011,2011-03-15.1519,test,60,30,3.522,5.117
192,2011,2011-03-15.1519,test,90,44,1.884,6.420
192,2011,2011-03-15.1519,test,15,53,4.825,7.504
192,2011,2011-03-15.1519,test,3,3,2.355,2.701
192,2011,2011-03-15.1519,test,12,10,2.615,3.802
192,2011,2011-03-15.1519,test,4,56,1.807,4.067
192,2011,2011-03-15.1519,test,7,7,3.988,5.368
192,2011,2011-03-15.1519,test,60,4,1.781,2.852
192,2011,2011-03-15.1519,test,8,6,2.195,2.785
192,2011,2011-03-15.1519,test,12,53,4.756,6.020
192,2011,2011-03-15.1519,test,8,34,2.345,4.119
192,2011,2011-03-15.1519,test,4,4,3.469,4.034
192,2011,2011-03-15.1519,test,4,4,2.924,3.602
192,2011,2011-03-15.1519,test,8,10,2.274,3.035
192,2011,2011-03-15.1519,test,15,11,2.281,3.118
192,2011,2011-03-15.1519,test,8,8,7.381,8.586
192,2011,2011-03-15.1519,test,8,25,4.954,6.652
192,2011,2011-03-15.1519,test,120,1000,2.694,5.784
192,2011,2011-03-15.1519,test,40,36,3.895,12.709
192,2011,2011-03-15.1519,test,90,360,2.620,6.053
192,2011,2011-03-15.1519,test,30,2222220,9.576,12.190
192,2011,2011-03-15.1519,test,30,25,2.276,5.434
192,2011,2011-03-15.1519,test,15,872,2.346,8.489
192,2011,2011-03-15.1519,test,120,583,2.451,8.838
192,2011,2011-03-15.1519,test,20,11,2.439,3.650
192,2011,2011-03-15.1519,test,15,10,2.156,3.200
192,2011,2011-03-15.1519,test,30,11,3.108,5.570
192,2011,2011-03-15.1519,test,15,10,2.116,3.318
192,2011,2011-03-15.1519,test,25,85,2.024,4.867
192,2011,2011-03-15.1519,test,40,40,2.372,4.069
192,2011,2011-03-15.1519,test,40,11,1.873,2.651
192,2011,2011-03-15.1519,test,30,41,1.490,3.487
192,2011,2011-03-15.1519,test,75,92,1.332,3.552
192,2011,2011-03-15.1519,test,90,851,4.037,7.369
192,2011,2011-03-15.1519,test,50,10,1.740,2.633
192,2011,2011-03-15.1519,test,12,6,3.019,3.619
192,2011,2011-03-15.1519,test,15,6,2.322,2.818
192,2011,2011-03-15.1519,test,30,5,2.794,3.318
192,2011,2011-03-15.1519,test,120,194,2.476,11.421
192,2011,2011-03-15.1519,test,20,6,2.615,3.150
192,2011,2011-03-15.1519,test,20,11,1.185,2.151
192,2011,2011-03-15.1519,test,7,5,3.188,3.750
192,2011,2011-03-15.1519,test,15,11,1.158,2.334
192,2011,2011-03-15.1519,test,75,451,1.630,4.319
192,2011,2011-03-15.1519,test,12,563,1.274,4.369
192,2011,2011-03-15.1519,test,30,11,2.385,3.318
192,2011,2011-03-15.1519,test,7,7,5.868,7.085
192,2011,2011-03-15.1519,test,12,6,3.135,3.685
192,2011,2011-03-15.1519,test,30,12,2.492,6.754
192,2011,2011-03-15.1519,test,75,56,1.604,2.902
192,2011,2011-03-15.1519,test,90,56,1.527,2.418
192,2011,2011-03-15.1519,test,12,8,2.431,3.168
192,2011,2011-03-15.1519,test,3,3,3.170,4.302
192,2011,2011-03-15.1519,test,5,4,2.668,3.467
192,2011,2011-03-15.1519,test,15,10,2.321,3.535
192,2011,2011-03-15.1519,test,5,23,1.252,4.202
192,2011,2011-03-15.1519,test,90,456,1.243,3.902
192,2011,2011-03-15.1519,test,30,10,1.223,2.283
192,2011,2011-03-15.1519,test,3,56,5.220,8.738
192,2011,2011-03-15.1519,test,30,8,2.276,3.033
192,2011,2011-03-15.1519,test,8,6,2.979,3.919
192,2011,2011-03-15.1519,test,20,24,1.982,3.835
192,2011,2011-03-15.1519,test,3,3,1.412,1.915
192,2011,2011-03-15.1519,test,15,42,1.570,3.621
192,2011,2011-03-15.1519,test,15,5,5.263,6.203
192,2011,2011-03-15.1519,test,60,35,3.310,5.418
192,2011,2011-03-15.1519,test,60,36,2.388,3.785
192,2011,2011-03-15.1519,test,15,25,2.508,10.205
192,2011,2011-03-15.1519,test,90,36,1.246,2.267
192,2011,2011-03-15.1519,test,15,10,1.060,2.235
192,2011,2011-03-15.1519,test,30,96,2.092,3.802
192,2011,2011-03-15.1519,test,8,5,1.019,2.251
192,2011,2011-03-15.1519,test,75,5,4.130,4.936
192,2011,2011-03-15.1519,test,90,25,0.988,2.116
