sid,year,date,type,stimulus,response,rt1,rt2
90,2011,2011-03-14.0954,train,3,3,2.859,4.085
90,2011,2011-03-14.0954,train,7,7,0.756,1.389
90,2011,2011-03-14.0954,train,22,22,0.466,2.009
90,2011,2011-03-14.0954,train,164,164,1.118,4.754
90,2011,2011-03-14.0954,train,50,50,0.512,9.174
90,2011,2011-03-14.0954,test,8,12,4.002,7.080
90,2011,2011-03-14.0954,test,4,6,2.166,4.186
90,2011,2011-03-14.0954,test,60,100,1.954,4.420
90,2011,2011-03-14.0954,test,120,1000,1.581,5.190
90,2011,2011-03-14.0954,test,30,556,4.787,8.555
90,2011,2011-03-14.0954,test,75,58,1.776,3.633
90,2011,2011-03-14.0954,test,15,6,1.755,3.767
90,2011,2011-03-14.0954,test,40,9,1.248,5.156
90,2011,2011-03-14.0954,test,60,123,1.813,4.922
90,2011,2011-03-14.0954,test,60,50,1.398,14.498
90,2011,2011-03-14.0954,test,60,100,1.261,3.448
90,2011,2011-03-14.0954,test,3,3,4.289,5.475
90,2011,2011-03-14.0954,test,90,146,1.515,10.614
90,2011,2011-03-14.0954,test,60,51,2.153,10.095
90,2011,2011-03-14.0954,test,25,62,1.797,3.716
90,2011,2011-03-14.0954,test,90,120,1.204,4.369
90,2011,2011-03-14.0954,test,3,3,3.031,7.835
90,2011,2011-03-14.0954,test,8,23,1.873,12.841
90,2011,2011-03-14.0954,test,20,0,0.787,0.804
90,2011,2011-03-14.0954,test,90,0,1.966,1.975
90,2011,2011-03-14.0954,test,7,0,0.889,0.904
90,2011,2011-03-14.0954,test,30,0,1.708,1.724
90,2011,2011-03-14.0954,test,30,51,1.132,10.882
90,2011,2011-03-14.0954,test,5,21,5.790,9.208
90,2011,2011-03-14.0954,test,50,10,1.938,4.704
90,2011,2011-03-14.0954,test,90,100,1.144,4.738
90,2011,2011-03-14.0954,test,7,12,1.312,11.066
90,2011,2011-03-14.0954,test,15,6,1.962,2.846
90,2011,2011-03-14.0954,test,20,532,5.967,11.786
90,2011,2011-03-14.0954,test,5,4,2.242,2.880
90,2011,2011-03-14.0954,test,60,111,1.550,3.834
90,2011,2011-03-14.0954,test,5,0,2.993,3.013
90,2011,2011-03-14.0954,test,8,0,1.072,1.088
90,2011,2011-03-14.0954,test,20,0,1.163,1.172
90,2011,2011-03-14.0954,test,90,110,1.430,7.198
90,2011,2011-03-14.0954,test,4,4,3.320,4.219
90,2011,2011-03-14.0954,test,3,123,3.306,24.024
90,2011,2011-03-14.0954,test,12,22,2.110,3.700
90,2011,2011-03-14.0954,test,12,0,1.917,1.925
90,2011,2011-03-14.0954,test,30,3,1.508,16.122
90,2011,2011-03-14.0954,test,90,22,2.272,4.403
90,2011,2011-03-14.0954,test,25,33,1.145,2.394
90,2011,2011-03-14.0954,test,15,4156,2.730,8.186
90,2011,2011-03-14.0954,test,75,0,2.115,2.126
90,2011,2011-03-14.0954,test,30,0,0.817,0.837
90,2011,2011-03-14.0954,test,75,0,0.167,0.184
90,2011,2011-03-14.0954,test,50,0,0.268,0.284
90,2011,2011-03-14.0954,test,30,100000,1.634,12.790
90,2011,2011-03-14.0954,test,20,1111111,11.368,13.276
90,2011,2011-03-14.0954,test,25,0,0.030,0.050
90,2011,2011-03-14.0954,test,15,0,0.108,0.117
90,2011,2011-03-14.0954,test,30,0,0.036,0.050
90,2011,2011-03-14.0954,test,7,0,0.146,0.167
90,2011,2011-03-14.0954,test,75,0,0.105,0.117
90,2011,2011-03-14.0954,test,8,0,0.050,0.067
90,2011,2011-03-14.0954,test,3,0,0.046,0.067
90,2011,2011-03-14.0954,test,3,0,0.042,0.050
90,2011,2011-03-14.0954,test,40,1.111111e+36,0.443,5.842
90,2011,2011-03-14.0954,test,7,25,1.413,6.462
90,2011,2011-03-14.0954,test,3,3,2.460,3.047
90,2011,2011-03-14.0954,test,4,4,2.025,2.461
90,2011,2011-03-14.0954,test,15,6,1.472,1.959
90,2011,2011-03-14.0954,test,3,3,1.134,1.507
90,2011,2011-03-14.0954,test,30,62,0.910,2.042
90,2011,2011-03-14.0954,test,8,56,1.376,2.461
90,2011,2011-03-14.0954,test,12,3,1.015,1.993
90,2011,2011-03-14.0954,test,15,63,0.986,3.666
90,2011,2011-03-14.0954,test,50,100,1.268,2.829
90,2011,2011-03-14.0954,test,8,41,0.730,2.076
90,2011,2011-03-14.0954,test,3,31,2.187,3.432
90,2011,2011-03-14.0954,test,5,1,4.520,6.128
90,2011,2011-03-14.0954,test,30,85,1.060,2.277
90,2011,2011-03-14.0954,test,12,8563,1.459,3.365
90,2011,2011-03-14.0954,test,3,4125,2.042,3.884
90,2011,2011-03-14.0954,test,8,412,1.979,3.264
90,2011,2011-03-14.0954,test,15,100,1.206,3.097
90,2011,2011-03-14.0954,test,5,4,3.208,4.169
90,2011,2011-03-14.0954,test,8,6666,1.795,4.805
90,2011,2011-03-14.0954,test,3,341,1.586,4.956
90,2011,2011-03-14.0954,test,8,300,1.102,2.344
90,2011,2011-03-14.0954,test,3,300,2.078,4.955
90,2011,2011-03-14.0954,test,30,610,1.662,5.960
90,2011,2011-03-14.0954,test,30,0,1.346,1.373
90,2011,2011-03-14.0954,test,4,0,0.841,0.854
90,2011,2011-03-14.0954,test,60,214,1.644,3.750
90,2011,2011-03-14.0954,test,30,122,1.409,3.566
90,2011,2011-03-14.0954,test,15,0,0.630,0.653
90,2011,2011-03-14.0954,test,30,0,0.133,0.150
90,2011,2011-03-14.0954,test,8,0,0.198,0.217
90,2011,2011-03-14.0954,test,8,0,1.876,1.892
90,2011,2011-03-14.0954,test,60,2000,0.333,4.319
90,2011,2011-03-14.0954,test,15,200000,1.369,6.613
90,2011,2011-03-14.0954,test,90,10000,2.088,4.570
90,2011,2011-03-14.0954,test,15,111145,4.513,7.600
90,2011,2011-03-14.0954,test,60,8974,8.252,11.886
90,2011,2011-03-14.0954,test,90,12,2.627,4.855
90,2011,2011-03-14.0954,test,20,21,1.655,3.147
90,2011,2011-03-14.0954,test,40,20,2.040,3.716
90,2011,2011-03-14.0954,test,120,200,3.574,5.273
