sid,year,date,type,stimulus,response,rt1,rt2
196,2011,2011-03-15.1724,train,3,3,5.563,6.223
196,2011,2011-03-15.1724,train,7,7,3.839,4.666
196,2011,2011-03-15.1724,train,22,22,1.077,2.251
196,2011,2011-03-15.1724,train,164,164,2.130,5.133
196,2011,2011-03-15.1724,train,50,50,0.805,2.616
196,2011,2011-03-15.1724,test,15,6,3.238,4.465
196,2011,2011-03-15.1724,test,7,9,5.056,5.649
196,2011,2011-03-15.1724,test,50,15,3.857,5.466
196,2011,2011-03-15.1724,test,12,12,4.297,5.516
196,2011,2011-03-15.1724,test,50,22,2.447,3.416
196,2011,2011-03-15.1724,test,75,14,4.634,6.083
196,2011,2011-03-15.1724,test,4,4,4.794,5.533
196,2011,2011-03-15.1724,test,60,23,2.343,3.717
196,2011,2011-03-15.1724,test,120,100,2.858,4.483
196,2011,2011-03-15.1724,test,3,3,1.746,2.266
196,2011,2011-03-15.1724,test,30,16,2.502,4.050
196,2011,2011-03-15.1724,test,60,21,5.351,6.816
196,2011,2011-03-15.1724,test,4,4,3.162,3.950
196,2011,2011-03-15.1724,test,3,6,2.439,2.767
196,2011,2011-03-15.1724,test,60,23,3.227,6.966
196,2011,2011-03-15.1724,test,7,6,2.223,2.900
196,2011,2011-03-15.1724,test,3,3,1.254,1.833
196,2011,2011-03-15.1724,test,15,8,3.992,5.366
196,2011,2011-03-15.1724,test,60,15,6.580,9.783
196,2011,2011-03-15.1724,test,3,3,1.240,1.550
196,2011,2011-03-15.1724,test,90,25,5.029,6.083
196,2011,2011-03-15.1724,test,3,3,1.172,1.433
196,2011,2011-03-15.1724,test,8,10,5.382,6.550
196,2011,2011-03-15.1724,test,12,12,2.219,5.483
196,2011,2011-03-15.1724,test,30,16,3.035,5.250
196,2011,2011-03-15.1724,test,30,14,4.299,7.849
196,2011,2011-03-15.1724,test,20,10,4.677,5.933
196,2011,2011-03-15.1724,test,3,3,1.178,1.850
196,2011,2011-03-15.1724,test,75,19,2.611,6.133
196,2011,2011-03-15.1724,test,8,6,2.049,2.700
196,2011,2011-03-15.1724,test,8,8,4.120,5.300
196,2011,2011-03-15.1724,test,15,10,2.238,3.850
196,2011,2011-03-15.1724,test,90,19,4.215,7.216
196,2011,2011-03-15.1724,test,60,25,2.298,3.483
196,2011,2011-03-15.1724,test,8,6,2.385,2.866
196,2011,2011-03-15.1724,test,7,6,2.393,2.816
196,2011,2011-03-15.1724,test,15,8,2.084,2.666
196,2011,2011-03-15.1724,test,90,100,3.212,6.833
196,2011,2011-03-15.1724,test,75,12,5.206,7.066
196,2011,2011-03-15.1724,test,75,29,2.390,4.133
196,2011,2011-03-15.1724,test,40,18,2.220,4.767
196,2011,2011-03-15.1724,test,7,6,5.184,6.399
196,2011,2011-03-15.1724,test,8,2,2.251,2.700
196,2011,2011-03-15.1724,test,20,12,1.362,2.233
196,2011,2011-03-15.1724,test,30,10,1.179,2.266
196,2011,2011-03-15.1724,test,7,5,2.579,3.066
196,2011,2011-03-15.1724,test,20,7,3.436,4.700
196,2011,2011-03-15.1724,test,8,8,2.867,3.516
