sid,year,date,type,stimulus,response,rt1,rt2
54,2013,2013-03-22.1633,train,3,22,10.162,10.894
54,2013,2013-03-22.1633,train,7,7,0.878,2.105
54,2013,2013-03-22.1633,train,22,22,0.703,2.088
54,2013,2013-03-22.1633,train,164,164,2.314,3.275
54,2013,2013-03-22.1633,train,50,50,0.811,1.738
54,2013,2013-03-22.1633,test,8,6,2.316,3.107
54,2013,2013-03-22.1633,test,3,4,2.242,2.607
54,2013,2013-03-22.1633,test,7,7,4.003,4.595
54,2013,2013-03-22.1633,test,8,58,3.232,4.127
54,2013,2013-03-22.1633,test,8,58,3.282,4.244
54,2013,2013-03-22.1633,test,30,20,2.278,3.275
54,2013,2013-03-22.1633,test,30,19,2.971,4.294
54,2013,2013-03-22.1633,test,90,50,2.816,3.810
54,2013,2013-03-22.1633,test,8,8,3.871,4.779
54,2013,2013-03-22.1633,test,12,6,4.700,4.979
54,2013,2013-03-22.1633,test,30,100,2.112,5.163
54,2013,2013-03-22.1633,test,15,0,0.717,0.735
54,2013,2013-03-22.1633,test,25,55,4.847,7.235
54,2013,2013-03-22.1633,test,7,8,3.157,3.609
54,2013,2013-03-22.1633,test,7,7,4.364,4.946
54,2013,2013-03-22.1633,test,40,23,2.769,4.394
54,2013,2013-03-22.1633,test,30,22,7.911,9.173
54,2013,2013-03-22.1633,test,15,10,2.395,8.405
54,2013,2013-03-22.1633,test,7,6,3.254,3.960
54,2013,2013-03-22.1633,test,12,11,1.975,6.583
54,2013,2013-03-22.1633,test,60,30,1.865,3.308
54,2013,2013-03-22.1633,test,3,3,1.389,2.439
54,2013,2013-03-22.1633,test,20,10,1.383,2.122
54,2013,2013-03-22.1633,test,30,50,2.277,3.509
54,2013,2013-03-22.1633,test,5,5,2.633,3.175
54,2013,2013-03-22.1633,test,15,23,4.026,6.466
54,2013,2013-03-22.1633,test,8,9,3.327,4.077
54,2013,2013-03-22.1633,test,25,12,2.090,2.790
54,2013,2013-03-22.1633,test,3,3,1.197,1.487
54,2013,2013-03-22.1633,test,8,8,4.686,5.196
54,2013,2013-03-22.1633,test,20,9,6.794,7.335
54,2013,2013-03-22.1633,test,30,26,7.922,8.638
54,2013,2013-03-22.1633,test,90,50,1.956,2.473
54,2013,2013-03-22.1633,test,15,22,1.860,6.366
54,2013,2013-03-22.1633,test,15,6,3.182,3.559
