sid,year,date,type,stimulus,response,rt1,rt2
37,2013,2013-03-22.1430,train,3,3,2.522,3.979
37,2013,2013-03-22.1430,train,7,7,2.823,4.452
37,2013,2013-03-22.1430,train,22,22,1.457,2.662
37,2013,2013-03-22.1430,train,164,164,1.106,4.090
37,2013,2013-03-22.1430,train,50,50,1.046,6.653
37,2013,2013-03-22.1430,test,30,15,2.648,6.224
37,2013,2013-03-22.1430,test,90,100,2.114,4.665
37,2013,2013-03-22.1430,test,12,10,2.257,3.499
37,2013,2013-03-22.1430,test,30,110,3.354,13.734
37,2013,2013-03-22.1430,test,90,589,1.645,6.358
37,2013,2013-03-22.1430,test,75,198,2.191,4.567
37,2013,2013-03-22.1430,test,3,79,2.704,6.325
37,2013,2013-03-22.1430,test,5,4,1.796,2.760
37,2013,2013-03-22.1430,test,8,8,5.108,6.243
37,2013,2013-03-22.1430,test,120,199,5.000,7.951
37,2013,2013-03-22.1430,test,8,6,1.944,2.826
37,2013,2013-03-22.1430,test,40,28,7.446,10.366
37,2013,2013-03-22.1430,test,30,69,1.112,2.004
37,2013,2013-03-22.1430,test,12,10,8.237,10.612
37,2013,2013-03-22.1430,test,8,9,4.424,5.618
37,2013,2013-03-22.1430,test,20,20,1.942,8.838
37,2013,2013-03-22.1430,test,90,53,1.849,4.222
37,2013,2013-03-22.1430,test,30,15,2.603,13.964
37,2013,2013-03-22.1430,test,5,4,1.511,2.776
37,2013,2013-03-22.1430,test,8,7,2.767,4.074
37,2013,2013-03-22.1430,test,90,20,2.213,4.025
37,2013,2013-03-22.1430,test,4,4,1.268,1.938
37,2013,2013-03-22.1430,test,25,50,1.482,4.255
37,2013,2013-03-22.1430,test,120,1000,1.699,4.271
37,2013,2013-03-22.1430,test,8,8,2.116,4.879
37,2013,2013-03-22.1430,test,75,123,1.268,2.448
37,2013,2013-03-22.1430,test,90,154,2.043,3.285
37,2013,2013-03-22.1430,test,30,87,2.750,4.123
37,2013,2013-03-22.1430,test,30,56,2.322,3.893
37,2013,2013-03-22.1430,test,5,4,2.373,2.973
37,2013,2013-03-22.1430,test,40,57,2.192,3.614
37,2013,2013-03-22.1430,test,4,4,3.634,4.534
37,2013,2013-03-22.1430,test,60,147,1.932,4.813
37,2013,2013-03-22.1430,test,90,698,1.462,3.088
37,2013,2013-03-22.1430,test,7,10,2.645,5.470
37,2013,2013-03-22.1430,test,50,60,1.772,4.665
