sid,year,date,type,stimulus,response,rt1,rt2
146,2013,2013-03-20.1558,train,3,3,1.275,2.196
146,2013,2013-03-20.1558,train,7,7,1.182,1.967
146,2013,2013-03-20.1558,train,22,22,0.530,2.019
146,2013,2013-03-20.1558,train,164,164,1.083,3.026
146,2013,2013-03-20.1558,train,50,50,0.957,1.850
146,2013,2013-03-20.1558,test,8,6,2.122,3.075
146,2013,2013-03-20.1558,test,90,32,3.226,5.985
146,2013,2013-03-20.1558,test,25,14,1.809,3.363
146,2013,2013-03-20.1558,test,20,12,2.278,4.506
146,2013,2013-03-20.1558,test,25,13,1.285,2.370
146,2013,2013-03-20.1558,test,60,26,1.611,2.606
146,2013,2013-03-20.1558,test,50,35,1.564,3.127
146,2013,2013-03-20.1558,test,4,4,1.476,2.051
146,2013,2013-03-20.1558,test,90,52,1.668,3.194
146,2013,2013-03-20.1558,test,8,9,2.177,2.808
146,2013,2013-03-20.1558,test,8,7,2.489,3.245
146,2013,2013-03-20.1558,test,30,13,2.596,3.749
146,2013,2013-03-20.1558,test,7,6,1.223,1.631
146,2013,2013-03-20.1558,test,90,63,1.279,2.808
146,2013,2013-03-20.1558,test,60,41,1.617,2.909
146,2013,2013-03-20.1558,test,90,46,1.596,3.497
146,2013,2013-03-20.1558,test,50,32,1.808,7.935
146,2013,2013-03-20.1558,test,40,30,1.425,4.926
146,2013,2013-03-20.1558,test,90,45,1.122,2.908
146,2013,2013-03-20.1558,test,90,48,2.172,3.732
146,2013,2013-03-20.1558,test,15,10,1.127,2.707
146,2013,2013-03-20.1558,test,15,18,3.596,5.615
146,2013,2013-03-20.1558,test,30,20,2.549,3.816
146,2013,2013-03-20.1558,test,15,9,1.109,1.614
146,2013,2013-03-20.1558,test,3,3,0.862,1.648
146,2013,2013-03-20.1558,test,90,51,2.077,3.547
146,2013,2013-03-20.1558,test,8,6,1.121,1.580
146,2013,2013-03-20.1558,test,90,30,1.489,2.825
146,2013,2013-03-20.1558,test,8,9,1.721,2.203
146,2013,2013-03-20.1558,test,120,48,1.397,2.337
146,2013,2013-03-20.1558,test,3,3,0.804,1.244
146,2013,2013-03-20.1558,test,60,32,1.722,2.791
146,2013,2013-03-20.1558,test,60,42,1.779,3.093
146,2013,2013-03-20.1558,test,4,4,0.996,1.647
146,2013,2013-03-20.1558,test,30,32,2.485,3.379
146,2013,2013-03-20.1558,test,7,8,1.801,2.455
146,2013,2013-03-20.1558,test,12,12,2.154,3.161
146,2013,2013-03-20.1558,test,90,14,0.976,4.556
146,2013,2013-03-20.1558,test,4,4,1.516,2.034
146,2013,2013-03-20.1558,test,5,5,0.978,1.496
146,2013,2013-03-20.1558,test,60,20,2.526,3.985
146,2013,2013-03-20.1558,test,30,21,1.237,3.043
146,2013,2013-03-20.1558,test,60,30,1.183,2.202
146,2013,2013-03-20.1558,test,40,32,1.162,2.404
146,2013,2013-03-20.1558,test,12,12,1.117,1.967
146,2013,2013-03-20.1558,test,3,3,0.749,1.126
146,2013,2013-03-20.1558,test,3,3,0.583,0.959
146,2013,2013-03-20.1558,test,5,5,1.032,1.429
146,2013,2013-03-20.1558,test,90,32,1.053,2.017
146,2013,2013-03-20.1558,test,90,45,1.035,2.034
146,2013,2013-03-20.1558,test,90,52,1.519,2.421
146,2013,2013-03-20.1558,test,20,19,1.097,2.892
146,2013,2013-03-20.1558,test,90,42,1.261,2.404
146,2013,2013-03-20.1558,test,30,20,1.430,2.371
146,2013,2013-03-20.1558,test,5,4,1.347,1.799
146,2013,2013-03-20.1558,test,12,9,1.340,1.816
146,2013,2013-03-20.1558,test,60,23,2.066,2.875
146,2013,2013-03-20.1558,test,3,3,0.646,0.958
146,2013,2013-03-20.1558,test,15,12,1.287,1.866
146,2013,2013-03-20.1558,test,8,6,2.029,2.505
146,2013,2013-03-20.1558,test,50,23,1.183,1.833
146,2013,2013-03-20.1558,test,75,43,1.077,2.791
146,2013,2013-03-20.1558,test,75,39,1.665,2.572
146,2013,2013-03-20.1558,test,15,12,0.805,1.530
146,2013,2013-03-20.1558,test,25,21,1.170,2.572
146,2013,2013-03-20.1558,test,90,39,1.345,3.951
146,2013,2013-03-20.1558,test,15,18,1.275,2.992
146,2013,2013-03-20.1558,test,30,21,0.729,3.430
146,2013,2013-03-20.1558,test,5,4,0.907,1.429
146,2013,2013-03-20.1558,test,25,10,1.926,3.480
146,2013,2013-03-20.1558,test,30,23,1.109,1.832
146,2013,2013-03-20.1558,test,40,24,0.972,2.203
146,2013,2013-03-20.1558,test,90,48,1.354,3.278
146,2013,2013-03-20.1558,test,30,20,1.394,3.446
146,2013,2013-03-20.1558,test,75,32,3.463,5.245
146,2013,2013-03-20.1558,test,20,10,2.112,3.009
146,2013,2013-03-20.1558,test,15,12,1.367,2.135
146,2013,2013-03-20.1558,test,3,3,0.760,1.110
146,2013,2013-03-20.1558,test,15,23,0.834,1.698
146,2013,2013-03-20.1558,test,60,42,1.599,2.740
146,2013,2013-03-20.1558,test,3,3,0.842,1.278
146,2013,2013-03-20.1558,test,30,41,3.484,9.718
146,2013,2013-03-20.1558,test,120,48,1.726,3.934
146,2013,2013-03-20.1558,test,90,38,1.687,3.665
146,2013,2013-03-20.1558,test,8,6,1.238,2.185
146,2013,2013-03-20.1558,test,50,21,3.108,4.203
146,2013,2013-03-20.1558,test,15,12,1.465,2.455
146,2013,2013-03-20.1558,test,40,24,1.066,2.421
146,2013,2013-03-20.1558,test,25,19,1.717,3.194
146,2013,2013-03-20.1558,test,60,28,1.034,3.077
146,2013,2013-03-20.1558,test,3,3,0.677,1.127
146,2013,2013-03-20.1558,test,4,4,0.912,1.648
146,2013,2013-03-20.1558,test,15,12,2.296,4.842
146,2013,2013-03-20.1558,test,90,25,0.781,2.017
146,2013,2013-03-20.1558,test,3,3,0.668,1.345
146,2013,2013-03-20.1558,test,5,4,0.754,1.227
146,2013,2013-03-20.1558,test,60,33,1.786,3.329
146,2013,2013-03-20.1558,test,12,12,0.856,1.765
146,2013,2013-03-20.1558,test,90,42,1.934,2.925
146,2013,2013-03-20.1558,test,8,10,1.064,1.967
146,2013,2013-03-20.1558,test,15,22,1.010,2.404
146,2013,2013-03-20.1558,test,8,8,1.397,1.967
146,2013,2013-03-20.1558,test,3,3,0.638,0.958
146,2013,2013-03-20.1558,test,8,9,0.984,1.463
146,2013,2013-03-20.1558,test,60,25,1.266,2.354
146,2013,2013-03-20.1558,test,50,22,1.680,3.043
146,2013,2013-03-20.1558,test,3,3,0.572,0.908
146,2013,2013-03-20.1558,test,7,8,1.568,2.387
146,2013,2013-03-20.1558,test,12,21,0.662,2.656
146,2013,2013-03-20.1558,test,12,13,0.965,1.749
146,2013,2013-03-20.1558,test,7,9,1.193,1.681
146,2013,2013-03-20.1558,test,15,21,0.807,2.370
146,2013,2013-03-20.1558,test,3,3,0.589,1.009
146,2013,2013-03-20.1558,test,8,5,0.867,1.883
146,2013,2013-03-20.1558,test,60,22,0.826,1.513
146,2013,2013-03-20.1558,test,30,30,1.041,2.287
146,2013,2013-03-20.1558,test,120,50,1.066,2.186
146,2013,2013-03-20.1558,test,50,35,1.575,3.816
146,2013,2013-03-20.1558,test,90,51,1.443,2.959
146,2013,2013-03-20.1558,test,60,43,1.594,3.346
146,2013,2013-03-20.1558,test,120,54,1.689,2.875
146,2013,2013-03-20.1558,test,90,43,1.193,2.236
146,2013,2013-03-20.1558,test,90,42,1.324,2.455
146,2013,2013-03-20.1558,test,8,9,1.037,1.563
146,2013,2013-03-20.1558,test,3,3,0.634,1.076
146,2013,2013-03-20.1558,test,15,15,0.805,4.254
146,2013,2013-03-20.1558,test,30,19,1.151,2.118
146,2013,2013-03-20.1558,test,75,24,0.800,1.883
146,2013,2013-03-20.1558,test,90,42,0.996,1.934
146,2013,2013-03-20.1558,test,3,3,0.615,1.026
146,2013,2013-03-20.1558,test,3,3,0.492,0.908
146,2013,2013-03-20.1558,test,7,9,1.001,1.480
146,2013,2013-03-20.1558,test,3,3,0.562,0.958
146,2013,2013-03-20.1558,test,75,32,2.021,2.757
146,2013,2013-03-20.1558,test,20,23,0.774,2.320
146,2013,2013-03-20.1558,test,12,21,1.071,4.859
146,2013,2013-03-20.1558,test,4,4,0.932,1.631
146,2013,2013-03-20.1558,test,3,3,0.613,1.143
146,2013,2013-03-20.1558,test,30,22,0.694,1.614
146,2013,2013-03-20.1558,test,3,3,0.488,1.026
146,2013,2013-03-20.1558,test,30,21,1.643,2.824
146,2013,2013-03-20.1558,test,3,3,0.499,0.975
146,2013,2013-03-20.1558,test,8,9,1.355,1.849
146,2013,2013-03-20.1558,test,60,23,0.677,1.546
146,2013,2013-03-20.1558,test,8,12,0.826,1.681
