sid,year,date,type,stimulus,response,rt1,rt2
181,2013,2013-03-20.1519,train,3,3,0.732,1.496
181,2013,2013-03-20.1519,train,7,7,6.231,14.190
181,2013,2013-03-20.1519,train,22,22,1.149,2.169
181,2013,2013-03-20.1519,train,164,164,1.448,5.178
181,2013,2013-03-20.1519,train,50,50,0.633,2.438
181,2013,2013-03-20.1519,test,15,9,5.470,6.354
181,2013,2013-03-20.1519,test,3,3,1.284,1.748
181,2013,2013-03-20.1519,test,3,3,1.184,1.799
181,2013,2013-03-20.1519,test,90,100,7.248,9.280
181,2013,2013-03-20.1519,test,15,13,5.159,7.162
181,2013,2013-03-20.1519,test,20,20,4.861,6.473
181,2013,2013-03-20.1519,test,8,8,4.084,4.859
181,2013,2013-03-20.1519,test,30,18,5.641,8.171
181,2013,2013-03-20.1519,test,40,16,11.141,12.945
181,2013,2013-03-20.1519,test,120,100,1.978,5.144
181,2013,2013-03-20.1519,test,120,100,1.959,5.094
181,2013,2013-03-20.1519,test,5,5,2.785,3.178
181,2013,2013-03-20.1519,test,7,7,4.287,4.842
181,2013,2013-03-20.1519,test,15,9,6.277,6.994
181,2013,2013-03-20.1519,test,8,7,7.994,8.742
181,2013,2013-03-20.1519,test,30,14,5.356,9.751
181,2013,2013-03-20.1519,test,3,3,1.197,1.564
181,2013,2013-03-20.1519,test,8,8,3.850,4.439
181,2013,2013-03-20.1519,test,30,20,2.331,3.564
181,2013,2013-03-20.1519,test,30,30,1.230,1.900
181,2013,2013-03-20.1519,test,40,30,0.841,1.580
181,2013,2013-03-20.1519,test,25,30,0.796,1.496
181,2013,2013-03-20.1519,test,4,4,1.459,1.950
181,2013,2013-03-20.1519,test,15,12,6.021,6.775
181,2013,2013-03-20.1519,test,120,100,1.284,2.757
181,2013,2013-03-20.1519,test,40,100,0.911,2.202
181,2013,2013-03-20.1519,test,20,13,6.436,7.162
181,2013,2013-03-20.1519,test,60,60,1.663,3.295
181,2013,2013-03-20.1519,test,5,5,3.007,3.917
181,2013,2013-03-20.1519,test,75,10,1.850,24.798
181,2013,2013-03-20.1519,test,3,3,1.420,1.883
181,2013,2013-03-20.1519,test,4,4,1.809,2.303
181,2013,2013-03-20.1519,test,8,8,3.729,4.253
181,2013,2013-03-20.1519,test,90,100,0.918,2.421
