sid,year,date,type,stimulus,response,rt1,rt2
104,2013,2013-03-21.1419,train,3,3,1.407,1.976
104,2013,2013-03-21.1419,train,7,7,1.906,3.022
104,2013,2013-03-21.1419,train,22,22,4.542,5.779
104,2013,2013-03-21.1419,train,164,164,2.555,7.755
104,2013,2013-03-21.1419,train,50,50,1.363,2.707
104,2013,2013-03-21.1419,test,7,3,1.726,3.137
104,2013,2013-03-21.1419,test,120,50,2.856,3.919
104,2013,2013-03-21.1419,test,4,3,1.762,2.242
104,2013,2013-03-21.1419,test,3,3,1.136,1.561
104,2013,2013-03-21.1419,test,60,80,3.015,4.882
104,2013,2013-03-21.1419,test,75,100,4.773,6.891
104,2013,2013-03-21.1419,test,30,22,2.692,4.168
104,2013,2013-03-21.1419,test,15,30,2.260,7.273
104,2013,2013-03-21.1419,test,60,40,2.347,5.114
104,2013,2013-03-21.1419,test,60,22,4.616,6.924
104,2013,2013-03-21.1419,test,8,7,2.540,3.587
104,2013,2013-03-21.1419,test,90,0,1.852,2.491
104,2013,2013-03-21.1419,test,8,6,2.385,2.923
104,2013,2013-03-21.1419,test,30,124,6.375,9.249
104,2013,2013-03-21.1419,test,60,12,2.335,9.000
104,2013,2013-03-21.1419,test,25,1,1.696,4.400
104,2013,2013-03-21.1419,test,3,3,1.489,1.877
104,2013,2013-03-21.1419,test,50,56,2.114,4.185
104,2013,2013-03-21.1419,test,90,45,4.816,15.808
104,2013,2013-03-21.1419,test,30,50,3.210,5.613
104,2013,2013-03-21.1419,test,3,3,1.453,2.507
104,2013,2013-03-21.1419,test,15,10,4.425,9.282
104,2013,2013-03-21.1419,test,90,0,4.368,13.284
104,2013,2013-03-21.1419,test,20,90,1.867,4.583
104,2013,2013-03-21.1419,test,30,75,2.645,5.978
104,2013,2013-03-21.1419,test,120,48,7.657,9.947
104,2013,2013-03-21.1419,test,3,3,1.976,2.823
104,2013,2013-03-21.1419,test,60,12,3.513,9.864
104,2013,2013-03-21.1419,test,30,65,4.769,5.995
104,2013,2013-03-21.1419,test,8,10,2.248,8.734
104,2013,2013-03-21.1419,test,8,42,5.307,6.808
104,2013,2013-03-21.1419,test,60,23,5.210,10.976
104,2013,2013-03-21.1419,test,15,12,5.027,7.539
104,2013,2013-03-21.1419,test,50,410,4.575,6.293
104,2013,2013-03-21.1419,test,7,8,3.426,4.201
104,2013,2013-03-21.1419,test,8,9,1.985,4.733
104,2013,2013-03-21.1419,test,15,11,5.222,7.655
104,2013,2013-03-21.1419,test,8,10,9.024,13.400
104,2013,2013-03-21.1419,test,90,0,5.226,14.347
104,2013,2013-03-21.1419,test,60,4561,2.239,4.849
104,2013,2013-03-21.1419,test,12,11,3.967,4.832
104,2013,2013-03-21.1419,test,50,120,5.343,9.017
104,2013,2013-03-21.1419,test,3,3,1.568,3.554
104,2013,2013-03-21.1419,test,7,40,2.326,4.400
104,2013,2013-03-21.1419,test,15,112,3.007,4.699
104,2013,2013-03-21.1419,test,30,3,5.082,5.662
104,2013,2013-03-21.1419,test,40,64,3.521,5.579
104,2013,2013-03-21.1419,test,8,9,5.893,10.594
104,2013,2013-03-21.1419,test,30,21,6.516,9.614
104,2013,2013-03-21.1419,test,25,12,4.741,8.452
104,2013,2013-03-21.1419,test,50,25,14.732,17.070
104,2013,2013-03-21.1419,test,15,0,2.279,4.234
