run,index,num_dots,answer1,answer2,points1,points2,time
1,1,4,5,6,4,6,7.62
1,2,74,50,60,0,0,9.62
1,3,5,5,5,4,4,3.18
1,4,38,40,35,0,0,9.55
1,5,23,25,30,0,0,7.17
1,6,9,8,8,9,9,4.01
1,7,7,7,7,8,8,3.70
1,8,37,30,35,0,0,6.81
1,9,17,20,18,2,3,8.52
1,10,13,12,15,7,5,4.18
1,11,22,15,13,5,6,11.47
1,12,56,40,35,0,0,9.00
1,13,3,3,3,0,0,2.12
1,14,60,50,55,0,0,3.86
1,15,22,20,25,2,0,2.89
1,16,71,50,60,0,0,2.73
1,17,10,10,12,9,7,5.40
1,18,8,8,8,9,9,6.00
1,19,24,20,22,2,1,7.09
1,20,27,20,18,2,3,8.09
1,21,72,40,50,0,0,9.34
1,22,30,20,22,2,1,4.09
1,23,8,7,6,8,6,3.04
1,24,4,4,4,2,2,4.17
1,25,17,15,13,5,6,6.31
1,26,115,50,40,0,0,4.71
1,27,17,15,18,5,3,7.67
1,28,22,15,17,5,3,10.32
1,29,25,20,18,2,3,7.16
1,30,44,25,30,0,0,3.41
1,31,31,20,20,2,2,9.16
1,32,20,15,18,5,3,10.11
1,33,50,30,35,0,0,7.60
1,34,37,20,25,2,0,3.96
1,35,16,13,15,6,5,4.34
1,36,50,20,25,2,0,3.41
1,37,67,30,35,0,0,3.61
1,38,88,40,50,0,0,2.71
1,39,67,40,45,0,0,2.12
1,40,43,35,40,0,0,2.17
1,41,25,13,15,6,5,4.31
1,42,53,20,25,2,0,1.89
1,43,38,20,25,2,0,2.23
1,44,111,40,50,0,0,2.40
1,45,4,4,4,2,2,3.34
1,46,7,6,7,6,8,3.09
1,47,77,25,30,0,0,3.78
1,48,30,18,20,3,2,4.70
1,49,6,6,6,6,6,2.52
1,50,14,10,12,9,7,4.72
1,51,36,20,22,2,1,3.76
1,52,39,30,35,0,0,2.09
1,53,23,15,20,5,2,3.44
1,54,3,3,3,0,0,1.44
1,55,4,4,4,2,2,1.36
1,56,11,10,10,9,9,3.93
1,57,24,15,20,5,2,3.14
1,58,43,20,25,2,0,1.77
1,59,36,20,25,2,0,1.24
1,60,29,20,25,2,0,1.99
1,61,47,20,25,2,0,1.57
1,62,35,20,25,2,0,1.21
1,63,46,20,25,2,0,1.37
1,64,178,60,70,0,0,3.82
1,65,154,60,70,0,0,1.45
1,66,20,15,18,5,3,3.90
1,67,98,35,40,0,0,2.19
1,68,18,15,20,5,2,5.95
1,69,3,3,3,0,0,1.46
1,70,12,10,12,9,7,3.31
1,71,21,8,10,9,9,3.80
1,72,190,60,70,0,0,1.64
1,73,37,35,40,0,0,5.45
1,74,2,2,2,0,0,1.77
1,75,56,20,25,2,0,3.11
1,76,29,20,25,2,0,3.60
1,77,25,10,15,9,5,3.34
1,78,59,20,25,2,0,1.58
1,79,22,15,20,5,2,2.16
1,80,22,25,28,0,0,2.46
1,81,59,20,25,2,0,4.35
1,82,55,20,25,2,0,1.66
1,83,23,10,15,9,5,2.52
1,84,7,7,7,8,8,2.69
1,85,44,20,25,2,0,2.59
1,86,8,7,7,8,8,2.61
1,87,7,7,7,8,8,4.16
1,88,25,15,20,5,2,2.44
1,89,28,18,25,3,0,3.94
1,90,35,20,25,2,0,2.11
1,91,8,7,7,8,8,2.48
1,92,19,12,15,7,5,5.70
1,93,5,5,5,4,4,2.19
1,94,12,10,12,9,7,3.09
1,95,19,15,18,5,3,1.96
1,96,3,3,3,0,0,1.34
1,97,43,20,25,2,0,2.64
1,98,58,30,35,0,0,2.43
1,99,7,7,7,8,8,2.51
1,100,5,5,5,4,4,2.36
1,101,15,15,18,5,3,2.82
1,102,26,20,25,2,0,1.29
1,103,23,20,25,2,0,5.26
1,104,105,35,40,0,0,2.94
1,105,56,35,40,0,0,1.51
1,106,42,20,25,2,0,1.77
1,107,149,50,60,0,0,4.82
1,108,71,25,30,0,0,2.94
1,109,75,20,25,2,0,1.52
1,110,30,20,25,2,0,1.84
1,111,61,30,35,0,0,5.29
1,112,6,6,6,6,6,2.01
1,113,18,15,18,5,3,3.05
1,114,64,25,30,0,0,2.73
1,115,105,40,45,0,0,3.69
1,116,24,20,25,2,0,5.19
1,117,32,20,25,2,0,1.73
1,118,70,35,40,0,0,3.29
1,119,91,50,55,0,0,4.47
1,120,22,15,20,5,2,4.13
1,121,18,12,15,7,5,3.74
1,122,39,20,25,2,0,2.67
1,123,6,6,6,6,6,2.09
1,124,22,15,20,5,2,2.05
1,125,2,2,2,0,0,1.04
1,126,7,7,7,8,8,2.10
1,127,53,20,25,2,0,1.72
1,128,91,35,40,0,0,2.12
1,129,17,10,12,9,7,3.03
1,130,79,25,30,0,0,4.23
1,131,39,15,20,5,2,3.35
1,132,19,15,20,5,2,2.53
1,133,11,12,15,7,5,4.47
1,134,33,20,25,2,0,2.18
1,135,28,15,20,5,2,6.15
1,136,7,7,7,8,8,2.41
1,137,87,30,35,0,0,3.58
1,138,97,35,40,0,0,3.84
1,139,20,15,18,5,3,4.93
1,140,7,7,7,8,8,2.76
1,141,144,35,40,0,0,2.51
1,142,4,4,4,2,2,2.09
1,143,24,15,18,5,3,2.93
1,144,22,15,18,5,3,2.19
1,145,3,3,3,0,0,1.36
1,146,89,35,40,0,0,2.44
1,147,60,25,30,0,0,2.56
1,148,106,35,40,0,0,2.97
1,149,127,35,40,0,0,1.57
1,150,142,35,40,0,0,1.40
2,48,30,20,25,2,0,4.15
2,138,97,40,45,0,0,5.68
2,84,7,7,7,8,8,2.31
2,144,22,12,15,7,5,7.20
2,30,44,15,20,5,2,1.69
2,46,7,7,7,8,8,3.13
