run,index,num_dots,answer1,answer2,points1,points2,time
1,1,145,1050,1200,0,0,32.37
1,2,21,25,30,0,0,9.93
1,3,102,400,450,0,0,9.97
1,4,7,7,8,8,9,5.36
1,5,10,9,9,10,10,7.89
1,6,88,250,230,0,0,10.92
1,7,110,245,245,0,0,7.94
1,8,17,15,16,5,4,4.89
1,9,41,100,105,0,0,4.58
1,10,37,120,130,0,0,11.86
1,11,104,350,350,0,0,11.61
1,12,15,10,11,9,8,6.04
1,13,75,150,120,0,0,3.81
1,14,50,80,90,0,0,4.95
1,15,11,12,14,7,5,4.82
1,16,55,60,75,0,0,6.40
1,17,26,40,50,0,0,3.94
1,18,14,24,25,0,0,7.24
1,19,5,5,6,4,6,3.19
1,20,25,25,30,0,0,5.28
1,21,70,150,155,0,0,6.55
1,22,13,10,11,9,8,6.19
1,23,23,25,30,0,0,4.74
1,24,19,24,26,0,0,5.44
1,25,50,110,120,0,0,4.74
1,26,34,60,70,0,0,6.45
1,27,144,350,360,0,0,13.67
1,28,17,30,35,0,0,8.53
1,29,89,210,220,0,0,7.87
1,30,35,45,50,0,0,4.63
1,31,123,350,300,0,0,11.53
1,32,13,14,15,5,5,6.12
1,33,85,110,115,0,0,3.99
1,34,117,225,230,0,0,4.25
1,35,85,180,175,0,0,9.24
1,36,105,225,230,0,0,7.37
1,37,5,5,5,4,4,3.77
1,38,70,95,105,0,0,7.10
1,39,103,250,260,0,0,3.54
1,40,20,25,30,0,0,5.53
1,41,10,10,11,9,8,6.27
1,42,3,3,3,0,0,1.82
1,43,15,22,24,1,0,5.76
1,44,34,35,40,0,0,7.07
1,45,27,30,35,0,0,6.54
1,46,15,23,24,0,0,6.59
1,47,4,4,4,2,2,2.36
1,48,117,250,275,0,0,5.32
1,49,32,70,80,0,0,5.31
1,50,55,160,180,0,0,11.27
1,51,2,2,2,0,0,2.57
1,52,42,150,170,0,0,9.99
1,53,52,120,130,0,0,13.32
1,54,60,115,120,0,0,5.81
1,55,45,70,80,0,0,3.36
1,56,36,55,60,0,0,5.86
1,57,22,40,45,0,0,4.33
1,58,39,60,65,0,0,3.06
1,59,55,105,110,0,0,5.02
1,60,15,25,30,0,0,4.44
1,61,25,30,35,0,0,17.89
1,62,8,8,9,9,10,4.92
1,63,27,50,50,0,0,10.29
1,64,11,10,12,9,7,5.16
1,65,58,80,100,0,0,4.08
1,66,77,180,200,0,0,8.39
1,67,5,6,6,6,6,4.34
1,68,123,250,240,0,0,6.36
1,69,55,80,85,0,0,4.49
1,70,29,40,45,0,0,4.19
1,71,33,40,50,0,0,9.37
1,72,87,130,140,0,0,6.62
1,73,87,110,115,0,0,2.86
1,74,80,100,110,0,0,4.96
1,75,7,7,7,8,8,4.29
1,76,14,15,20,5,2,6.52
1,77,137,120,130,0,0,8.65
1,78,2,2,2,0,0,1.78
1,79,52,90,100,0,0,5.57
1,80,21,25,28,0,0,9.22
1,81,37,120,125,0,0,13.96
1,82,86,260,265,0,0,8.24
1,83,46,70,80,0,0,4.77
1,84,69,110,130,0,0,6.19
1,85,115,150,160,0,0,2.91
1,86,16,20,25,2,0,5.57
1,87,44,50,55,0,0,7.39
1,88,34,50,60,0,0,3.94
1,89,6,6,6,6,6,3.66
1,90,40,55,60,0,0,5.47
1,91,23,45,50,0,0,5.17
1,92,87,110,115,0,0,2.91
1,93,38,60,70,0,0,5.74
1,94,8,8,8,9,9,4.50
1,95,3,3,3,0,0,1.84
1,96,8,7,7,8,8,4.29
1,97,182,250,260,0,0,5.81
1,98,19,24,27,0,0,6.06
1,99,3,3,3,0,0,1.48
1,100,71,130,140,0,0,5.96
1,101,93,130,150,0,0,7.62
1,102,5,6,6,6,6,3.87
1,103,93,150,150,0,0,4.70
1,104,15,20,22,2,1,4.46
1,105,66,70,80,0,0,4.80
1,106,91,110,115,0,0,4.60
1,107,21,40,45,0,0,4.89
1,108,34,45,45,0,0,2.41
1,109,59,85,95,0,0,10.29
1,110,19,25,27,0,0,8.28
1,111,58,100,105,0,0,7.88
1,112,15,23,25,0,0,9.02
1,113,11,10,11,9,8,4.47
1,114,35,45,50,0,0,6.12
1,115,70,105,110,0,0,3.22
1,116,66,110,120,0,0,2.36
1,117,81,110,115,0,0,3.79
1,118,12,10,10,9,9,7.75
1,119,29,25,30,0,0,5.40
1,120,61,45,50,0,0,6.83
1,121,219,250,260,0,0,6.78
1,122,3,3,3,0,0,1.89
1,123,112,110,110,0,0,3.13
1,124,70,90,100,0,0,6.60
1,125,77,60,75,0,0,9.72
1,126,37,45,50,0,0,5.36
1,127,30,35,40,0,0,6.64
1,128,63,75,80,0,0,8.41
1,129,111,125,130,0,0,4.92
1,130,102,130,140,0,0,2.97
1,131,20,24,25,0,0,6.92
1,132,13,15,20,5,2,5.88
1,133,13,12,15,7,5,9.72
1,134,82,135,140,0,0,5.89
1,135,13,15,16,5,4,8.14
1,136,20,40,45,0,0,7.11
1,137,122,180,170,0,0,5.60
1,138,29,46,47,0,0,11.62
1,139,58,60,70,0,0,11.52
1,140,7,7,7,8,8,3.61
1,141,71,150,160,0,0,11.25
1,142,48,50,60,0,0,6.06
1,143,36,60,70,0,0,4.33
1,144,2,2,2,0,0,1.45
1,145,30,40,45,0,0,2.86
1,146,28,35,40,0,0,3.54
1,147,94,160,170,0,0,5.14
1,148,54,80,95,0,0,5.43
1,149,36,50,55,0,0,4.66
1,150,108,120,140,0,0,8.84
2,145,30,70,80,0,0,17.85
2,142,48,120,130,0,0,6.86
2,114,35,45,50,0,0,3.81
2,36,105,190,200,0,0,7.75
2,38,70,150,160,0,0,4.67
2,40,20,25,27,0,0,5.54
2,136,20,30,34,0,0,6.74
2,79,52,65,70,0,0,7.27
2,55,45,80,90,0,0,13.94
2,94,8,9,10,10,9,6.12
2,13,75,200,150,0,0,9.02
2,130,102,140,150,0,0,8.15
2,100,71,130,145,0,0,7.42
2,112,15,12,15,7,5,3.31
2,5,10,10,10,9,9,5.17
2,17,26,26,28,0,0,6.54
2,110,19,25,27,0,0,7.16
2,132,13,25,28,0,0,11.60
2,60,15,20,25,2,0,6.54
2,9,41,60,70,0,0,9.57
2,133,13,30,35,0,0,10.90
2,24,19,30,35,0,0,4.22
2,87,44,70,75,0,0,5.85
2,2,21,28,30,0,0,6.29
2,96,8,7,7,8,8,4.34
2,83,46,70,75,0,0,4.64
2,31,123,200,220,0,0,6.04
2,104,15,20,25,2,0,6.31
2,19,5,5,5,4,4,1.83
2,12,15,18,20,3,2,4.07
2,7,110,180,200,0,0,7.23
2,30,35,70,80,0,0,7.74
2,29,89,140,150,0,0,4.36
2,140,7,7,7,8,8,3.81
2,4,7,7,7,8,8,3.91
2,68,123,150,160,0,0,9.69
2,97,182,250,270,0,0,4.34
2,150,108,150,160,0,0,8.59
2,131,20,30,40,0,0,3.56
2,66,77,78,98,0,0,7.39
2,69,55,30,35,0,0,9.61
2,41,10,9,10,10,9,4.01
2,61,25,25,30,0,0,5.37
2,85,115,150,160,0,0,4.96
2,56,36,40,45,0,0,4.16
2,21,70,110,120,0,0,7.39
2,15,11,10,15,9,5,5.74
2,146,28,28,29,0,0,7.90
2,27,144,140,150,0,0,5.56
2,95,3,3,3,0,0,1.42
2,139,58,120,130,0,0,21.57
2,16,55,115,120,0,0,6.70
2,84,69,105,110,0,0,7.74
2,18,14,18,20,3,2,3.89
2,53,52,55,60,0,0,8.86
2,72,87,115,120,0,0,4.22
2,64,11,12,14,7,5,6.54
2,52,42,60,70,0,0,16.82
2,126,37,58,68,0,0,10.54
2,58,39,80,90,0,0,12.85
2,57,22,40,35,0,0,3.74
2,109,59,100,90,0,0,3.18
2,80,21,40,50,0,0,8.29
2,121,219,280,300,0,0,5.31
2,118,12,20,25,2,0,6.16
2,138,29,40,45,0,0,2.86
2,75,7,7,7,8,8,4.74
2,10,37,35,40,0,0,3.41
2,141,71,70,80,0,0,4.92
2,82,86,110,115,0,0,4.11
2,37,5,5,5,4,4,3.13
2,59,55,60,75,0,0,3.97
2,26,34,45,50,0,0,4.41
2,127,30,40,45,0,0,4.49
2,149,36,35,40,0,0,3.97
2,119,29,30,30,0,0,2.18
2,77,137,170,180,0,0,7.29
2,33,85,80,90,0,0,8.06
2,65,58,75,75,0,0,11.65
2,90,40,57,58,0,0,5.66
2,78,2,2,2,0,0,1.26
2,125,77,85,90,0,0,17.46
2,20,25,40,45,0,0,7.14
2,39,103,160,165,0,0,5.09
2,91,23,45,50,0,0,3.73
2,122,3,3,3,0,0,1.17
2,105,66,120,125,0,0,4.29
2,98,19,25,30,0,0,3.42
2,14,50,90,95,0,0,5.50
2,129,111,125,128,0,0,6.52
2,3,102,160,180,0,0,10.32
2,46,15,18,20,3,2,3.51
2,134,82,140,160,0,0,5.97
2,135,13,15,18,5,3,3.94
2,70,29,50,45,0,0,3.86
2,73,87,125,130,0,0,7.28
2,45,27,40,45,0,0,5.01
2,88,34,70,80,0,0,4.47
2,11,104,130,135,0,0,4.07
2,123,112,125,130,0,0,3.92
2,44,34,50,56,0,0,8.13
2,42,3,3,3,0,0,1.36
2,6,88,120,120,0,0,2.39
2,81,37,80,85,0,0,5.06
2,50,55,75,75,0,0,5.69
2,106,91,100,100,0,0,2.14
2,92,87,105,110,0,0,2.72
2,124,70,110,110,0,0,4.82
2,102,5,6,6,6,6,2.44
2,86,16,23,25,0,0,7.69
2,137,122,220,200,0,0,6.48
2,25,50,70,75,0,0,5.74
2,116,66,100,120,0,0,2.59
2,113,11,10,10,9,9,4.74
2,111,58,120,130,0,0,7.72
2,8,17,20,20,2,2,4.19
2,49,32,55,60,0,0,3.04
2,103,93,185,180,0,0,7.27
2,32,13,13,14,6,5,6.11
2,63,27,108,110,0,0,12.64
2,117,81,130,130,0,0,4.13
2,1,145,167,170,0,0,5.19
2,128,63,80,85,0,0,6.61
2,35,85,170,190,0,0,11.54
2,101,93,130,135,0,0,7.71
2,108,34,35,40,0,0,6.69
2,115,70,85,80,0,0,6.06
2,67,5,5,5,4,4,2.77
2,107,21,35,40,0,0,6.21
2,47,4,4,4,2,2,1.94
2,147,94,120,125,0,0,8.46
2,74,80,110,115,0,0,11.95
2,143,36,60,75,0,0,6.04
2,43,15,30,35,0,0,6.97
2,51,2,2,2,0,0,1.02
2,148,54,110,90,0,0,7.70
2,144,2,2,2,0,0,0.90
2,93,38,100,80,0,0,5.32
2,48,117,150,160,0,0,5.34
2,120,61,110,120,0,0,4.62
2,23,23,40,50,0,0,4.66
2,89,6,6,6,6,6,2.56
2,71,33,80,90,0,0,5.69
2,22,13,14,15,5,5,3.62
2,34,117,130,135,0,0,5.38
2,28,17,16,18,4,3,7.77
2,62,8,8,8,9,9,3.64
2,54,60,80,90,0,0,4.91
2,76,14,24,26,0,0,7.09
2,99,3,3,3,0,0,1.06
