run,index,num_dots,answer1,answer2,points1,points2,time
1,1,50,20,25,2,0,8.50
1,2,19,15,17,5,3,10.79
1,3,64,30,35,0,0,11.65
1,4,26,20,20,2,2,8.15
1,5,39,25,25,0,0,10.80
1,6,39,30,30,0,0,8.95
1,7,4,4,4,2,2,3.54
1,8,15,15,15,5,5,9.48
1,9,4,4,4,2,2,2.41
1,10,56,35,37,0,0,7.99
1,11,36,15,17,5,3,13.88
1,12,2,2,2,0,0,2.81
1,13,79,40,35,0,0,11.48
1,14,13,10,11,9,8,8.48
1,15,84,40,43,0,0,5.89
1,16,10,10,10,9,9,4.14
1,17,22,13,14,6,5,7.60
1,18,62,30,34,0,0,7.50
1,19,37,25,27,0,0,11.54
1,20,17,15,15,5,5,6.04
1,21,51,23,25,0,0,15.33
1,22,89,40,43,0,0,6.22
1,23,72,40,37,0,0,6.50
1,24,2,2,2,0,0,1.64
1,25,90,45,40,0,0,5.11
1,26,67,38,40,0,0,4.75
1,27,86,40,42,0,0,4.11
1,28,82,40,40,0,0,3.74
1,29,155,46,45,0,0,5.17
1,30,5,5,5,4,4,2.57
1,31,19,15,16,5,4,7.88
1,32,25,18,20,3,2,7.84
1,33,19,15,13,5,6,6.31
1,34,38,18,22,3,1,7.38
1,35,50,20,22,2,1,6.30
1,36,3,3,3,0,0,1.42
1,37,35,20,24,2,0,6.34
1,38,85,30,34,0,0,2.94
1,39,32,24,27,0,0,7.38
1,40,27,22,24,1,0,7.36
1,41,21,16,17,4,3,8.01
1,42,62,30,34,0,0,3.54
1,43,58,37,35,0,0,8.76
1,44,13,15,13,5,6,6.77
1,45,36,23,25,0,0,7.31
1,46,75,32,35,0,0,3.56
1,47,8,7,7,8,8,3.45
1,48,18,13,14,6,5,7.51
1,49,34,20,23,2,0,6.94
1,50,57,27,29,0,0,6.05
1,51,2,2,2,0,0,1.37
1,52,33,16,18,4,3,6.49
1,53,21,15,14,5,5,8.60
1,54,13,13,12,6,7,8.80
1,55,51,18,21,3,1,8.35
1,56,38,24,26,0,0,8.84
1,57,18,15,16,5,4,6.39
1,58,48,21,24,1,0,8.39
1,59,3,3,3,0,0,1.21
1,60,49,23,25,0,0,10.45
1,61,2,2,2,0,0,1.28
1,62,11,12,12,7,7,8.39
1,63,35,20,17,2,3,7.10
1,64,32,20,18,2,3,10.82
1,65,22,17,19,3,2,6.43
1,66,12,13,14,6,5,6.69
1,67,27,17,19,3,2,6.78
1,68,9,9,10,10,9,5.10
1,69,127,35,38,0,0,4.81
1,70,55,29,31,0,0,15.12
1,71,9,8,9,9,10,5.21
1,72,3,3,3,0,0,1.29
1,73,44,25,27,0,0,9.15
1,74,77,34,30,0,0,6.92
1,75,4,4,4,2,2,1.49
1,76,84,35,38,0,0,3.74
1,77,22,29,26,0,0,6.37
1,78,87,36,38,0,0,2.67
1,79,60,34,30,0,0,6.68
1,80,101,37,39,0,0,2.34
1,81,87,35,37,0,0,6.10
1,82,41,20,22,2,1,7.55
1,83,3,3,3,0,0,0.99
1,84,2,2,2,0,0,1.07
1,85,82,30,28,0,0,8.15
1,86,6,6,6,6,6,2.38
1,87,37,18,22,3,1,7.50
1,88,9,8,9,9,10,8.30
1,89,52,23,26,0,0,7.52
1,90,64,25,27,0,0,8.39
1,91,24,16,18,4,3,7.95
1,92,120,30,34,0,0,4.14
1,93,6,6,7,6,8,4.52
1,94,65,33,36,0,0,9.51
1,95,85,30,35,0,0,9.44
1,96,111,35,37,0,0,2.07
1,97,8,7,9,8,10,3.67
1,98,67,25,27,0,0,6.69
1,99,179,34,36,0,0,5.52
1,100,25,17,19,3,2,9.47
1,101,36,22,24,1,0,9.56
1,102,12,13,15,6,5,4.67
1,103,4,4,4,2,2,1.42
1,104,29,15,13,5,6,7.43
1,105,2,2,2,0,0,1.21
1,106,38,20,23,2,0,6.90
1,107,17,13,15,6,5,5.63
1,108,51,19,21,2,1,8.53
1,109,28,18,20,3,2,6.30
1,110,35,18,20,3,2,7.17
1,111,69,23,24,0,0,6.70
1,112,4,4,4,2,2,1.26
1,113,20,12,14,7,5,5.83
1,114,159,38,40,0,0,7.64
1,115,26,13,16,6,4,5.14
1,116,8,7,8,8,9,3.36
1,117,49,15,17,5,3,10.05
1,118,14,12,14,7,5,5.74
1,119,54,17,19,3,2,6.34
1,120,3,3,3,0,0,1.09
1,121,19,15,16,5,4,6.93
1,122,30,17,19,3,2,7.77
1,123,54,17,19,3,2,8.17
1,124,7,7,8,8,9,4.56
1,125,84,32,34,0,0,6.01
1,126,54,29,30,0,0,9.79
1,127,7,7,7,8,8,4.31
1,128,48,21,23,1,0,9.68
1,129,106,30,34,0,0,3.78
1,130,53,28,30,0,0,10.62
1,131,54,26,28,0,0,9.44
1,132,74,25,26,0,0,10.85
1,133,40,20,22,2,1,7.44
1,134,21,18,20,3,2,5.59
1,135,3,3,3,0,0,1.06
1,136,13,10,12,9,7,6.11
1,137,25,13,15,6,5,6.09
1,138,12,12,14,7,5,5.29
1,139,49,19,21,2,1,10.04
1,140,47,23,25,0,0,8.96
1,141,27,18,20,3,2,8.55
1,142,3,3,3,0,0,0.99
1,143,94,34,36,0,0,4.11
1,144,29,26,28,0,0,8.60
1,145,22,16,18,4,3,9.46
1,146,56,20,23,2,0,10.34
1,147,27,14,16,5,4,6.20
1,148,138,34,37,0,0,4.39
1,149,19,15,17,5,3,5.81
1,150,14,13,14,6,5,5.57
2,88,9,8,8,9,9,9.85
2,61,2,2,2,0,0,1.31
2,44,13,11,12,8,7,4.59
2,35,50,23,25,0,0,5.84
