Level of physics education (1-3): 2
response_time,predicted_angle,answer_angle,ball_angle,starting_angle,angle_change,cross_mark,rope_length,outer_radius,points
4.79,5.320635,6.217875,3.315839,4.582653,-0.100000,False,100,175.0,1
1.69,0.931021,5.588454,4.495757,1.962127,0.200000,True,100,167.5,0
3.51,5.442117,0.398153,3.583482,4.850297,-0.100000,True,100,150.0,0
1.59,0.841069,0.888188,2.940119,0.406490,0.200000,True,100,150.0,10
3.50,5.352164,2.675166,5.198318,3.956948,-0.150000,True,200,335.0,0
1.23,5.274925,5.205062,3.604550,6.138179,-0.200000,True,200,375.0,9
6.48,0.931021,2.882497,5.338115,2.804486,0.200000,False,100,167.5,0
2.16,5.235988,0.034194,2.986750,4.253565,-0.100000,False,100,200.0,0
3.54,5.442117,5.240997,2.987928,5.521558,-0.200000,True,100,150.0,8
3.31,1.047198,0.832877,4.839931,2.306301,0.200000,True,100,200.0,8
3.99,5.274925,0.448586,5.905089,0.888718,-0.100000,True,100,187.5,0
1.57,0.931021,6.207888,2.165466,3.406836,0.150000,False,100,167.5,0
2.69,0.962551,6.267949,4.797388,2.263759,0.200000,False,100,175.0,0
1.82,0.962551,6.270275,4.043731,1.510102,0.200000,False,200,350.0,0
1.44,0.962551,0.122957,0.121003,1.362373,0.150000,True,200,350.0,2
6.56,5.352164,4.723386,2.616559,1.375189,-0.150000,False,200,335.0,4
1.44,5.320635,6.182834,1.259755,2.526570,-0.100000,False,200,350.0,1
2.34,5.352164,6.249998,0.832989,3.366618,-0.200000,False,200,335.0,1
2.26,5.320635,1.251423,6.270442,5.029071,-0.150000,True,100,175.0,0
1.06,5.274925,5.657164,3.366218,2.124847,-0.150000,True,200,375.0,6
3.41,5.352164,0.072329,0.512263,5.554078,-0.150000,False,100,167.5,0
1.90,0.931021,5.969520,4.553789,5.795159,0.150000,True,200,335.0,0
1.57,5.320635,0.412747,1.465916,2.732731,-0.100000,True,200,350.0,0
1.04,0.931021,6.155923,5.499497,2.965867,0.200000,False,200,335.0,0
1.06,5.235988,0.501194,1.952495,3.219310,-0.100000,True,100,200.0,0
0.75,5.352164,0.460577,1.851685,3.118499,-0.100000,True,100,167.5,0
1.73,0.962551,0.094278,5.992139,0.950324,0.150000,False,100,175.0,1
1.25,0.931021,6.004725,2.896924,4.138295,0.150000,True,100,167.5,0
1.63,0.931021,0.189445,4.883768,3.616953,0.100000,True,100,167.5,3
1.12,0.841069,0.179199,1.176984,4.926540,0.200000,True,200,300.0,3
1.20,1.008260,0.062517,5.613016,0.571202,0.150000,True,100,187.5,1
0.84,0.841069,6.212891,3.333892,2.067078,0.100000,False,100,150.0,0
1.09,0.841069,0.080055,1.898685,0.631871,0.100000,True,200,300.0,2
1.04,0.962551,0.789781,1.342332,5.091888,0.200000,True,100,175.0,8
1.37,0.962551,6.150419,5.815496,3.281867,0.200000,True,200,350.0,0
2.06,5.442117,0.006532,3.309809,2.068439,-0.150000,False,100,150.0,0
1.13,5.235988,0.398187,2.361823,1.120452,-0.150000,True,100,200.0,0
1.14,1.008260,6.191897,5.095872,3.829057,0.100000,True,200,375.0,0
2.24,1.047198,0.035100,4.713144,5.954514,0.150000,False,200,400.0,0
1.83,0.841069,6.233063,1.152878,2.394248,0.150000,False,200,300.0,0
1.88,5.320635,6.239458,2.336645,1.095274,-0.150000,False,200,350.0,1
1.81,5.235988,6.236891,1.682908,0.441537,-0.150000,False,200,400.0,0
1.39,0.931021,0.062102,5.546289,4.279475,0.100000,False,100,167.5,1
1.48,5.442117,0.010940,1.100420,2.367234,-0.100000,True,200,300.0,0
1.30,1.047198,0.105908,2.997446,1.730631,0.100000,False,200,400.0,1
0.61,0.841069,6.272921,3.227722,4.469092,0.150000,True,100,150.0,0
1.19,5.442117,6.131541,2.517098,1.275727,-0.150000,True,200,300.0,3
1.84,1.008260,0.028620,3.173583,4.414954,0.150000,False,200,375.0,0
0.77,1.047198,6.073523,3.645054,1.111424,0.200000,True,200,400.0,0
0.62,5.442117,6.125909,3.682140,6.215769,-0.200000,True,200,300.0,3
5.78,0.841069,2.834416,0.198340,3.947896,0.200000,False,200,300.0,0
3.71,0.962551,3.213978,2.073741,0.806926,0.100000,True,200,350.0,0
