sid,year,date,type,stimulus,response,rt1,rt2
103,2012,2012-03-21.1606,train,3,3,3.350,4.576
103,2012,2012-03-21.1606,train,7,7,0.890,2.739
103,2012,2012-03-21.1606,train,22,22,0.483,1.670
103,2012,2012-03-21.1606,train,164,164,0.897,4.309
103,2012,2012-03-21.1606,train,50,50,1.639,3.056
103,2012,2012-03-21.1606,test,30,22,4.970,6.379
103,2012,2012-03-21.1606,test,120,30,3.258,4.393
103,2012,2012-03-21.1606,test,60,26,4.731,6.263
103,2012,2012-03-21.1606,test,15,0,3.653,4.209
103,2012,2012-03-21.1606,test,3,3,0.940,1.553
103,2012,2012-03-21.1606,test,3,3,0.892,1.553
103,2012,2012-03-21.1606,test,12,6,3.331,3.942
103,2012,2012-03-21.1606,test,30,10,1.462,2.188
103,2012,2012-03-21.1606,test,7,4,2.411,3.791
103,2012,2012-03-21.1606,test,15,4,0.900,1.854
103,2012,2012-03-21.1606,test,15,5,0.415,0.985
103,2012,2012-03-21.1606,test,15,5,0.406,1.069
103,2012,2012-03-21.1606,test,8,6,0.698,1.353
103,2012,2012-03-21.1606,test,60,13,1.429,3.240
103,2012,2012-03-21.1606,test,15,20,1.262,2.271
103,2012,2012-03-21.1606,test,90,38,1.617,5.044
103,2012,2012-03-21.1606,test,75,39,3.620,9.069
103,2012,2012-03-21.1606,test,3,3,1.015,1.520
103,2012,2012-03-21.1606,test,90,310,1.320,3.892
103,2012,2012-03-21.1606,test,60,0,0.932,0.952
103,2012,2012-03-21.1606,test,20,3,2.077,2.756
103,2012,2012-03-21.1606,test,8,1,1.562,1.971
103,2012,2012-03-21.1606,test,15,45,1.368,2.773
103,2012,2012-03-21.1606,test,60,65,1.604,2.739
103,2012,2012-03-21.1606,test,3,3,1.113,1.637
103,2012,2012-03-21.1606,test,60,1,2.309,3.023
103,2012,2012-03-21.1606,test,3,3,1.007,1.503
103,2012,2012-03-21.1606,test,4,4,1.912,2.388
103,2012,2012-03-21.1606,test,30,10,1.284,1.971
103,2012,2012-03-21.1606,test,5,5,1.538,2.405
103,2012,2012-03-21.1606,test,8,2,1.350,1.653
103,2012,2012-03-21.1606,test,120,65,2.161,3.942
103,2012,2012-03-21.1606,test,20,9,2.068,2.472
103,2012,2012-03-21.1606,test,20,10,1.189,1.704
103,2012,2012-03-21.1606,test,8,32,3.270,3.908
103,2012,2012-03-21.1606,test,60,39,1.435,2.639
103,2012,2012-03-21.1606,test,8,6,1.453,3.424
103,2012,2012-03-21.1606,test,8,23,0.958,1.553
103,2012,2012-03-21.1606,test,30,23,0.357,0.785
103,2012,2012-03-21.1606,test,75,456,0.029,1.336
103,2012,2012-03-21.1606,test,90,412,0.706,2.321
103,2012,2012-03-21.1606,test,90,232,0.476,2.989
103,2012,2012-03-21.1606,test,15,45,1.423,4.192
103,2012,2012-03-21.1606,test,75,116,1.375,5.512
