sid,year,date,type,stimulus,response,rt1,rt2
41,2012,2012-03-21.1342,train,3,3,0.716,1.152
41,2012,2012-03-21.1342,train,7,7,2.162,3.504
41,2012,2012-03-21.1342,train,22,22,1.684,2.591
41,2012,2012-03-21.1342,train,164,164,2.295,11.673
41,2012,2012-03-21.1342,train,50,50,0.864,1.926
41,2012,2012-03-21.1342,test,75,22,2.011,3.287
41,2012,2012-03-21.1342,test,40,10,2.276,3.289
41,2012,2012-03-21.1342,test,20,7,4.462,5.064
41,2012,2012-03-21.1342,test,15,10,1.598,2.607
41,2012,2012-03-21.1342,test,3,3,1.695,2.175
41,2012,2012-03-21.1342,test,120,100,1.297,3.022
41,2012,2012-03-21.1342,test,30,12,3.468,4.533
41,2012,2012-03-21.1342,test,120,77,3.337,4.400
41,2012,2012-03-21.1342,test,8,10,1.618,2.474
41,2012,2012-03-21.1342,test,7,5,1.273,1.810
41,2012,2012-03-21.1342,test,30,7,1.822,2.507
41,2012,2012-03-21.1342,test,8,10,1.021,1.810
41,2012,2012-03-21.1342,test,20,11,1.412,2.939
41,2012,2012-03-21.1342,test,8,110,1.633,4.849
41,2012,2012-03-21.1342,test,30,52,3.041,3.968
41,2012,2012-03-21.1342,test,60,62,2.472,3.421
41,2012,2012-03-21.1342,test,90,100,1.351,3.869
41,2012,2012-03-21.1342,test,30,84,2.938,3.935
41,2012,2012-03-21.1342,test,90,100,1.028,2.159
41,2012,2012-03-21.1342,test,3,3,1.101,1.411
41,2012,2012-03-21.1342,test,90,83,2.736,4.052
41,2012,2012-03-21.1342,test,8,5,1.949,2.391
41,2012,2012-03-21.1342,test,50,41,1.711,2.524
41,2012,2012-03-21.1342,test,8,10,1.060,1.660
41,2012,2012-03-21.1342,test,3,3,1.009,1.395
41,2012,2012-03-21.1342,test,4,4,2.838,3.172
41,2012,2012-03-21.1342,test,8,10,0.923,1.643
41,2012,2012-03-21.1342,test,8,12,2.353,3.587
41,2012,2012-03-21.1342,test,3,3,1.087,1.478
41,2012,2012-03-21.1342,test,90,120,2.215,5.347
41,2012,2012-03-21.1342,test,15,54,3.061,4.151
41,2012,2012-03-21.1342,test,30,65,1.286,2.225
41,2012,2012-03-21.1342,test,60,52,1.000,1.843
41,2012,2012-03-21.1342,test,30,12,0.586,1.544
41,2012,2012-03-21.1342,test,5,10,1.891,2.806
