sid,year,date,type,stimulus,response,rt1,rt2
188,2012,2012-03-22.1418,train,3,3,6.877,9.264
188,2012,2012-03-22.1418,train,7,7,2.231,3.892
188,2012,2012-03-22.1418,train,22,22,1.055,2.506
188,2012,2012-03-22.1418,train,164,164,1.650,4.326
188,2012,2012-03-22.1418,train,50,50,1.000,3.658
188,2012,2012-03-22.1418,test,4,4,3.775,5.126
188,2012,2012-03-22.1418,test,3,3,1.489,2.104
188,2012,2012-03-22.1418,test,30,15,3.977,11.241
188,2012,2012-03-22.1418,test,3,3,1.489,2.037
188,2012,2012-03-22.1418,test,90,85,1.652,3.174
188,2012,2012-03-22.1418,test,90,99,2.575,5.161
188,2012,2012-03-22.1418,test,15,50,1.911,3.975
188,2012,2012-03-22.1418,test,120,92,1.661,6.079
188,2012,2012-03-22.1418,test,15,89,2.358,5.094
188,2012,2012-03-22.1418,test,75,56,1.176,2.656
188,2012,2012-03-22.1418,test,8,10,2.209,3.341
188,2012,2012-03-22.1418,test,15,20,2.726,4.460
188,2012,2012-03-22.1418,test,60,96,2.363,4.142
188,2012,2012-03-22.1418,test,30,87,2.157,3.524
188,2012,2012-03-22.1418,test,90,100,2.560,5.245
188,2012,2012-03-22.1418,test,90,65,2.381,4.226
188,2012,2012-03-22.1418,test,60,89,1.564,7.149
188,2012,2012-03-22.1418,test,25,72,2.487,4.075
188,2012,2012-03-22.1418,test,25,80,2.453,4.042
188,2012,2012-03-22.1418,test,3,3,1.187,1.737
188,2012,2012-03-22.1418,test,30,96,1.771,3.441
188,2012,2012-03-22.1418,test,90,99,2.267,3.775
188,2012,2012-03-22.1418,test,5,5,1.829,2.606
188,2012,2012-03-22.1418,test,8,35,3.472,5.779
188,2012,2012-03-22.1418,test,75,89,2.898,4.877
188,2012,2012-03-22.1418,test,90,86,2.685,6.898
188,2012,2012-03-22.1418,test,90,99,1.811,3.023
188,2012,2012-03-22.1418,test,90,112,2.523,16.703
188,2012,2012-03-22.1418,test,15,85,3.078,7.266
188,2012,2012-03-22.1418,test,60,98,2.052,5.478
188,2012,2012-03-22.1418,test,4,4,1.591,2.221
188,2012,2012-03-22.1418,test,50,73,1.879,4.543
188,2012,2012-03-22.1418,test,3,91,3.592,5.896
188,2012,2012-03-22.1418,test,15,55,1.417,2.873
188,2012,2012-03-22.1418,test,120,76,1.358,5.645
188,2012,2012-03-22.1418,test,12,49,1.777,4.693
188,2012,2012-03-22.1418,test,3,3,1.148,1.737
188,2012,2012-03-22.1418,test,60,59,1.431,3.073
188,2012,2012-03-22.1418,test,90,88,2.238,4.526
188,2012,2012-03-22.1418,test,4,4,1.983,2.822
188,2012,2012-03-22.1418,test,50,68,1.426,3.040
188,2012,2012-03-22.1418,test,5,39,2.274,4.577
188,2012,2012-03-22.1418,test,15,45,3.202,4.994
188,2012,2012-03-22.1418,test,3,3,1.057,3.207
188,2012,2012-03-22.1418,test,90,67,1.731,7.416
188,2012,2012-03-22.1418,test,30,86,3.348,14.381
188,2012,2012-03-22.1418,test,3,3,1.471,3.157
188,2012,2012-03-22.1418,test,5,8,1.947,3.090
188,2012,2012-03-22.1418,test,8,10,2.450,4.209
188,2012,2012-03-22.1418,test,8,84,1.970,6.414
188,2012,2012-03-22.1418,test,30,96,2.236,4.493
188,2012,2012-03-22.1418,test,3,3,1.168,3.023
188,2012,2012-03-22.1418,test,7,7,3.810,5.395
