sid,year,date,type,stimulus,response,rt1,rt2
115,2012,2012-03-21.1636,train,3,3,2.128,3.593
115,2012,2012-03-21.1636,train,7,7,2.572,3.669
115,2012,2012-03-21.1636,train,22,22,1.468,2.585
115,2012,2012-03-21.1636,train,164,164,1.649,13.174
115,2012,2012-03-21.1636,train,50,50,0.801,2.569
115,2012,2012-03-21.1636,test,90,20,1.850,3.568
115,2012,2012-03-21.1636,test,7,6,2.204,3.552
115,2012,2012-03-21.1636,test,15,8,2.206,3.185
115,2012,2012-03-21.1636,test,120,50,1.597,3.002
115,2012,2012-03-21.1636,test,30,10,4.525,10.789
115,2012,2012-03-21.1636,test,3,3,1.066,1.534
115,2012,2012-03-21.1636,test,120,90,1.907,2.852
115,2012,2012-03-21.1636,test,3,3,1.033,1.367
115,2012,2012-03-21.1636,test,8,6,1.268,1.667
115,2012,2012-03-21.1636,test,20,8,2.010,2.719
115,2012,2012-03-21.1636,test,60,10,3.029,4.217
115,2012,2012-03-21.1636,test,75,90,2.548,3.952
115,2012,2012-03-21.1636,test,8,5,1.461,2.001
115,2012,2012-03-21.1636,test,3,3,0.878,1.167
115,2012,2012-03-21.1636,test,7,7,2.360,2.902
115,2012,2012-03-21.1636,test,25,8,1.333,1.751
115,2012,2012-03-21.1636,test,60,10,2.145,3.936
115,2012,2012-03-21.1636,test,4,4,1.651,2.133
115,2012,2012-03-21.1636,test,40,80,1.644,3.001
115,2012,2012-03-21.1636,test,40,30,1.316,3.402
115,2012,2012-03-21.1636,test,4,4,1.668,2.251
115,2012,2012-03-21.1636,test,12,9,1.771,2.450
115,2012,2012-03-21.1636,test,8,7,1.929,2.452
115,2012,2012-03-21.1636,test,12,12,3.512,4.136
115,2012,2012-03-21.1636,test,15,10,3.170,4.553
115,2012,2012-03-21.1636,test,50,60,1.115,1.701
115,2012,2012-03-21.1636,test,8,5,2.296,2.718
115,2012,2012-03-21.1636,test,50,12,1.723,4.786
115,2012,2012-03-21.1636,test,90,20,1.314,2.083
115,2012,2012-03-21.1636,test,3,3,0.776,1.116
115,2012,2012-03-21.1636,test,15,5,1.588,1.983
115,2012,2012-03-21.1636,test,3,3,0.894,1.184
115,2012,2012-03-21.1636,test,60,60,1.310,2.553
115,2012,2012-03-21.1636,test,15,32,1.599,3.035
115,2012,2012-03-21.1636,test,8,52,1.382,1.867
115,2012,2012-03-21.1636,test,50,2,1.404,1.951
115,2012,2012-03-21.1636,test,60,52,0.895,1.451
115,2012,2012-03-21.1636,test,3,3,0.746,1.017
115,2012,2012-03-21.1636,test,90,60,1.013,1.601
