sid,year,date,type,stimulus,response,rt1,rt2
39,2012,2012-03-21.1340,train,3,3,3.950,5.673
39,2012,2012-03-21.1340,train,7,7,2.171,6.230
39,2012,2012-03-21.1340,train,22,22,1.017,2.523
39,2012,2012-03-21.1340,train,164,164,1.995,9.804
39,2012,2012-03-21.1340,train,50,50,2.651,4.426
39,2012,2012-03-21.1340,test,40,58,3.434,5.628
39,2012,2012-03-21.1340,test,30,25,1.048,8.268
39,2012,2012-03-21.1340,test,15,8,3.035,4.126
39,2012,2012-03-21.1340,test,60,0,0.024,0.033
39,2012,2012-03-21.1340,test,30,52,3.324,11.892
39,2012,2012-03-21.1340,test,15,12,2.321,3.257
39,2012,2012-03-21.1340,test,30,30,4.624,7.583
39,2012,2012-03-21.1340,test,25,52,2.090,3.207
39,2012,2012-03-21.1340,test,60,82,2.259,10.756
39,2012,2012-03-21.1340,test,60,98,1.663,2.873
39,2012,2012-03-21.1340,test,8,52,2.671,25.037
39,2012,2012-03-21.1340,test,5,51,4.659,6.464
39,2012,2012-03-21.1340,test,7,6,2.236,2.589
39,2012,2012-03-21.1340,test,120,52,2.543,4.009
39,2012,2012-03-21.1340,test,25,2,0.808,7.215
39,2012,2012-03-21.1340,test,40,0,0.268,1.169
39,2012,2012-03-21.1340,test,30,62,1.203,2.522
39,2012,2012-03-21.1340,test,3,52,1.082,5.746
39,2012,2012-03-21.1340,test,8,8,3.329,4.176
39,2012,2012-03-21.1340,test,60,35,2.090,4.209
39,2012,2012-03-21.1340,test,30,52,1.666,3.323
39,2012,2012-03-21.1340,test,75,110,0.927,6.831
39,2012,2012-03-21.1340,test,15,56,0.584,2.088
39,2012,2012-03-21.1340,test,75,63,1.425,7.817
39,2012,2012-03-21.1340,test,3,3,2.417,3.040
39,2012,2012-03-21.1340,test,60,45,0.978,1.887
39,2012,2012-03-21.1340,test,60,85,1.264,2.305
39,2012,2012-03-21.1340,test,40,22,0.640,12.877
39,2012,2012-03-21.1340,test,50,50,2.156,4.393
39,2012,2012-03-21.1340,test,15,9,1.180,3.190
39,2012,2012-03-21.1340,test,30,220,1.828,5.194
39,2012,2012-03-21.1340,test,8,8,1.675,2.639
39,2012,2012-03-21.1340,test,4,225,2.036,4.960
39,2012,2012-03-21.1340,test,60,85,1.192,2.188
39,2012,2012-03-21.1340,test,3,3,2.428,3.224
39,2012,2012-03-21.1340,test,15,25,2.405,4.042
39,2012,2012-03-21.1340,test,30,85,3.492,5.295
39,2012,2012-03-21.1340,test,30,86,0.902,1.787
39,2012,2012-03-21.1340,test,90,62,0.610,2.155
39,2012,2012-03-21.1340,test,8,86,1.968,3.257
39,2012,2012-03-21.1340,test,4,4,1.736,2.639
39,2012,2012-03-21.1340,test,90,99,1.345,2.288
39,2012,2012-03-21.1340,test,50,85,1.641,2.839
39,2012,2012-03-21.1340,test,60,55,3.349,16.636
39,2012,2012-03-21.1340,test,60,56,1.811,6.030
39,2012,2012-03-21.1340,test,7,66,0.534,2.388
39,2012,2012-03-21.1340,test,7,5,1.211,6.698
39,2012,2012-03-21.1340,test,5,4,2.106,3.825
39,2012,2012-03-21.1340,test,15,12,4.305,23.567
39,2012,2012-03-21.1340,test,3,3,1.699,3.090
39,2012,2012-03-21.1340,test,3,3,1.762,2.589
39,2012,2012-03-21.1340,test,120,152,2.415,6.414
39,2012,2012-03-21.1340,test,75,58,1.890,3.407
39,2012,2012-03-21.1340,test,50,85,5.516,6.681
39,2012,2012-03-21.1340,test,25,56,2.692,3.725
39,2012,2012-03-21.1340,test,3,3,1.519,1.904
39,2012,2012-03-21.1340,test,8,6,0.736,1.085
39,2012,2012-03-21.1340,test,15,25,2.547,3.691
39,2012,2012-03-21.1340,test,25,65,0.840,1.887
39,2012,2012-03-21.1340,test,8,54,2.162,3.658
39,2012,2012-03-21.1340,test,75,56,0.784,3.741
39,2012,2012-03-21.1340,test,30,96,0.771,2.589
39,2012,2012-03-21.1340,test,12,53,3.567,8.669
39,2012,2012-03-21.1340,test,8,75,7.451,8.535
39,2012,2012-03-21.1340,test,30,11,8.341,12.042
39,2012,2012-03-21.1340,test,15,18,0.699,18.557
39,2012,2012-03-21.1340,test,8,34,1.655,7.600
39,2012,2012-03-21.1340,test,8,95,4.889,6.497
39,2012,2012-03-21.1340,test,120,94,2.344,6.464
39,2012,2012-03-21.1340,test,30,52,4.689,7.516
39,2012,2012-03-21.1340,test,8,5,1.133,1.704
39,2012,2012-03-21.1340,test,20,5,0.230,0.651
39,2012,2012-03-21.1340,test,8,56,0.724,1.887
39,2012,2012-03-21.1340,test,4,4,1.821,2.773
39,2012,2012-03-21.1340,test,8,7,2.577,3.391
39,2012,2012-03-21.1340,test,60,98,1.507,2.906
39,2012,2012-03-21.1340,test,15,25,0.706,1.553
39,2012,2012-03-21.1340,test,12,10,3.865,7.416
39,2012,2012-03-21.1340,test,90,82,2.588,5.161
39,2012,2012-03-21.1340,test,30,56,3.916,6.213
39,2012,2012-03-21.1340,test,8,6,0.591,0.902
39,2012,2012-03-21.1340,test,30,5,0.874,1.303
39,2012,2012-03-21.1340,test,60,96,0.723,1.503
39,2012,2012-03-21.1340,test,20,36,0.477,1.821
39,2012,2012-03-21.1340,test,30,0,2.600,4.326
39,2012,2012-03-21.1340,test,90,56,1.655,2.355
39,2012,2012-03-21.1340,test,60,6,0.730,1.720
39,2012,2012-03-21.1340,test,15,52,0.755,2.455
39,2012,2012-03-21.1340,test,3,3,1.037,2.021
39,2012,2012-03-21.1340,test,30,65,0.856,2.238
39,2012,2012-03-21.1340,test,15,5,4.283,6.748
39,2012,2012-03-21.1340,test,8,6,1.120,1.520
39,2012,2012-03-21.1340,test,90,3,1.264,3.992
