sid,year,date,type,stimulus,response,rt1,rt2
164,2012,2012-03-22.1319,train,3,3,3.589,4.820
164,2012,2012-03-22.1319,train,7,7,0.861,1.821
164,2012,2012-03-22.1319,train,22,22,1.265,2.507
164,2012,2012-03-22.1319,train,164,164,0.737,5.814
164,2012,2012-03-22.1319,train,50,50,0.350,1.671
164,2012,2012-03-22.1319,test,4,4,2.486,3.141
164,2012,2012-03-22.1319,test,15,10,2.641,3.693
164,2012,2012-03-22.1319,test,15,13,3.917,5.180
164,2012,2012-03-22.1319,test,25,16,1.864,5.280
164,2012,2012-03-22.1319,test,120,35,4.966,6.082
164,2012,2012-03-22.1319,test,50,50,5.156,6.500
164,2012,2012-03-22.1319,test,25,30,1.945,3.091
164,2012,2012-03-22.1319,test,90,40,1.713,3.108
164,2012,2012-03-22.1319,test,3,3,1.125,1.587
164,2012,2012-03-22.1319,test,15,10,1.802,2.974
164,2012,2012-03-22.1319,test,3,3,1.509,2.022
164,2012,2012-03-22.1319,test,8,7,2.303,2.974
164,2012,2012-03-22.1319,test,30,15,2.064,3.091
164,2012,2012-03-22.1319,test,90,70,2.233,3.726
164,2012,2012-03-22.1319,test,8,6,2.468,2.924
164,2012,2012-03-22.1319,test,8,8,3.016,3.542
164,2012,2012-03-22.1319,test,30,19,2.754,4.628
164,2012,2012-03-22.1319,test,30,20,2.199,3.475
164,2012,2012-03-22.1319,test,15,9,2.043,2.573
164,2012,2012-03-22.1319,test,60,50,2.942,4.227
164,2012,2012-03-22.1319,test,90,90,2.151,3.191
164,2012,2012-03-22.1319,test,90,50,2.470,3.442
164,2012,2012-03-22.1319,test,3,3,1.005,1.487
164,2012,2012-03-22.1319,test,3,3,0.741,1.236
164,2012,2012-03-22.1319,test,4,4,1.313,1.855
164,2012,2012-03-22.1319,test,40,20,1.994,3.091
164,2012,2012-03-22.1319,test,75,32,4.308,5.213
164,2012,2012-03-22.1319,test,8,7,2.806,3.609
164,2012,2012-03-22.1319,test,7,8,2.253,3.024
164,2012,2012-03-22.1319,test,75,40,2.517,3.826
164,2012,2012-03-22.1319,test,15,35,3.363,4.645
164,2012,2012-03-22.1319,test,30,30,1.375,2.306
164,2012,2012-03-22.1319,test,90,100,3.411,5.848
164,2012,2012-03-22.1319,test,8,9,4.378,4.896
164,2012,2012-03-22.1319,test,40,40,4.659,5.865
164,2012,2012-03-22.1319,test,30,40,2.075,3.208
164,2012,2012-03-22.1319,test,90,90,1.707,2.857
164,2012,2012-03-22.1319,test,30,32,3.562,4.645
164,2012,2012-03-22.1319,test,8,7,4.196,4.729
164,2012,2012-03-22.1319,test,40,20,2.263,3.459
164,2012,2012-03-22.1319,test,5,5,1.364,1.871
