sid,year,date,type,stimulus,response,rt1,rt2
102,2012,2012-03-21.1606,train,3,3,7.624,11.126
102,2012,2012-03-21.1606,train,7,7,1.363,2.291
102,2012,2012-03-21.1606,train,22,22,1.040,2.275
102,2012,2012-03-21.1606,train,164,164,0.902,29.905
102,2012,2012-03-21.1606,train,50,50,3.845,5.081
102,2012,2012-03-21.1606,test,90,30,5.703,7.554
102,2012,2012-03-21.1606,test,5,5,3.341,5.018
102,2012,2012-03-21.1606,test,30,10,3.908,5.147
102,2012,2012-03-21.1606,test,20,9,8.873,10.013
102,2012,2012-03-21.1606,test,15,34,2.092,3.985
102,2012,2012-03-21.1606,test,90,100,2.817,5.181
102,2012,2012-03-21.1606,test,3,3,1.723,2.872
102,2012,2012-03-21.1606,test,60,20,8.726,11.291
102,2012,2012-03-21.1606,test,12,56789,5.874,10.029
102,2012,2012-03-21.1606,test,50,123,1.339,4.284
102,2012,2012-03-21.1606,test,3,3,1.230,13.085
102,2012,2012-03-21.1606,test,3,11,5.601,12.238
102,2012,2012-03-21.1606,test,8,34,4.891,7.140
102,2012,2012-03-21.1606,test,90,1,3.835,4.749
102,2012,2012-03-21.1606,test,25,234,1.325,2.258
102,2012,2012-03-21.1606,test,15,21,1.158,2.590
102,2012,2012-03-21.1606,test,8,23,0.844,1.793
102,2012,2012-03-21.1606,test,5,5,2.627,3.371
102,2012,2012-03-21.1606,test,30,34,0.815,1.527
102,2012,2012-03-21.1606,test,25,3,0.351,0.598
102,2012,2012-03-21.1606,test,25,3,0.368,0.581
102,2012,2012-03-21.1606,test,75,20,3.447,6.808
102,2012,2012-03-21.1606,test,90,30,5.061,9.449
102,2012,2012-03-21.1606,test,3,3,1.700,2.707
102,2012,2012-03-21.1606,test,15,24,12.769,20.623
102,2012,2012-03-21.1606,test,90,90,6.129,7.306
102,2012,2012-03-21.1606,test,90,40,3.773,8.751
102,2012,2012-03-21.1606,test,90,10,5.865,7.904
102,2012,2012-03-21.1606,test,30,11,4.907,10.328
102,2012,2012-03-21.1606,test,50,13,2.388,5.031
102,2012,2012-03-21.1606,test,30,12,4.180,9.448
102,2012,2012-03-21.1606,test,3,3,1.388,3.038
102,2012,2012-03-21.1606,test,5,5,2.501,3.537
102,2012,2012-03-21.1606,test,60,30,2.835,5.629
102,2012,2012-03-21.1606,test,12,20,4.413,7.987
102,2012,2012-03-21.1606,test,40,30,3.634,4.832
102,2012,2012-03-21.1606,test,40,10,6.409,8.684
102,2012,2012-03-21.1606,test,3,3,1.084,2.109
102,2012,2012-03-21.1606,test,60,20,1.497,5.396
102,2012,2012-03-21.1606,test,60,10,2.975,4.068
102,2012,2012-03-21.1606,test,25,15,1.863,5.629
102,2012,2012-03-21.1606,test,30,12,2.521,3.985
102,2012,2012-03-21.1606,test,50,20,9.031,16.754
102,2012,2012-03-21.1606,test,8,8,4.725,7.754
102,2012,2012-03-21.1606,test,60,20,2.192,3.586
102,2012,2012-03-21.1606,test,8,11,4.798,8.768
102,2012,2012-03-21.1606,test,3,3,1.942,3.669
102,2012,2012-03-21.1606,test,8,6,4.832,6.708
102,2012,2012-03-21.1606,test,75,30,1.698,3.736
102,2012,2012-03-21.1606,test,3,3,1.114,3.819
102,2012,2012-03-21.1606,test,12,7,6.495,8.452
102,2012,2012-03-21.1606,test,60,31,2.635,6.160
102,2012,2012-03-21.1606,test,90,30,3.882,5.878
102,2012,2012-03-21.1606,test,30,8,4.484,5.729
102,2012,2012-03-21.1606,test,120,20,3.003,5.248
102,2012,2012-03-21.1606,test,15,23,6.915,8.186
102,2012,2012-03-21.1606,test,30,5,5.331,6.492
102,2012,2012-03-21.1606,test,12,10,6.868,9.863
102,2012,2012-03-21.1606,test,3,3,1.524,3.636
102,2012,2012-03-21.1606,test,7,5,6.136,7.738
102,2012,2012-03-21.1606,test,25,30,5.477,13.848
102,2012,2012-03-21.1606,test,7,5,2.692,3.603
102,2012,2012-03-21.1606,test,90,20,1.759,5.214
102,2012,2012-03-21.1606,test,3,3,1.104,2.109
102,2012,2012-03-21.1606,test,50,10,2.331,7.590
102,2012,2012-03-21.1606,test,20,5,4.069,7.488
102,2012,2012-03-21.1606,test,25,6,4.004,9.049
102,2012,2012-03-21.1606,test,5,5,2.090,3.155
102,2012,2012-03-21.1606,test,90,10,11.992,21.138
102,2012,2012-03-21.1606,test,15,5,1.605,2.839
102,2012,2012-03-21.1606,test,60,10,3.364,6.343
102,2012,2012-03-21.1606,test,30,22,1.692,5.231
102,2012,2012-03-21.1606,test,8,2,4.718,5.911
102,2012,2012-03-21.1606,test,60,40,2.108,11.889
