sid,year,date,type,stimulus,response,rt1,rt2
7,2012,2012-03-20.1659,train,3,3,1.924,3.267
7,2012,2012-03-20.1659,train,7,7,0.987,1.987
7,2012,2012-03-20.1659,train,22,22,0.292,0.986
7,2012,2012-03-20.1659,train,164,164,7.008,10.222
7,2012,2012-03-20.1659,train,50,50,0.349,1.102
7,2012,2012-03-20.1659,test,15,5,2.062,3.356
7,2012,2012-03-20.1659,test,3,3,1.211,1.486
7,2012,2012-03-20.1659,test,30,5,1.308,1.687
7,2012,2012-03-20.1659,test,7,7,3.967,4.877
7,2012,2012-03-20.1659,test,30,45,3.195,4.209
7,2012,2012-03-20.1659,test,30,54,2.635,3.474
7,2012,2012-03-20.1659,test,75,2,1.062,1.486
7,2012,2012-03-20.1659,test,50,45,0.921,1.486
7,2012,2012-03-20.1659,test,7,7,4.324,4.910
7,2012,2012-03-20.1659,test,8,7,3.999,4.443
7,2012,2012-03-20.1659,test,90,0,0.160,0.167
7,2012,2012-03-20.1659,test,25,0,0.170,0.184
7,2012,2012-03-20.1659,test,90,45,1.644,3.791
7,2012,2012-03-20.1659,test,60,54,0.833,3.958
7,2012,2012-03-20.1659,test,8,7,3.845,4.359
7,2012,2012-03-20.1659,test,4,4,2.183,2.589
7,2012,2012-03-20.1659,test,60,54,1.108,1.653
7,2012,2012-03-20.1659,test,50,7,1.204,3.307
7,2012,2012-03-20.1659,test,20,21,1.274,1.954
7,2012,2012-03-20.1659,test,3,3,1.409,2.021
7,2012,2012-03-20.1659,test,8,5549,7.357,8.585
7,2012,2012-03-20.1659,test,15,555525555555,1.534,9.387
7,2012,2012-03-20.1659,test,90,556,1.212,2.856
7,2012,2012-03-20.1659,test,40,46,0.854,1.687
7,2012,2012-03-20.1659,test,15,0,0.871,0.885
7,2012,2012-03-20.1659,test,12,0,1.179,1.186
7,2012,2012-03-20.1659,test,4,4,1.933,2.338
7,2012,2012-03-20.1659,test,5,5,2.859,3.491
7,2012,2012-03-20.1659,test,75,212,1.365,2.388
7,2012,2012-03-20.1659,test,8,6,2.682,3.641
7,2012,2012-03-20.1659,test,50,645,0.734,1.403
7,2012,2012-03-20.1659,test,8,789951,0.660,2.088
7,2012,2012-03-20.1659,test,30,0,1.326,2.005
7,2012,2012-03-20.1659,test,3,3,2.331,2.572
7,2012,2012-03-20.1659,test,60,45,1.160,1.653
7,2012,2012-03-20.1659,test,60,54,0.764,1.303
7,2012,2012-03-20.1659,test,30,654,0.327,0.952
7,2012,2012-03-20.1659,test,90,44,0.887,1.486
7,2012,2012-03-20.1659,test,90,445,0.078,0.701
7,2012,2012-03-20.1659,test,5,5,1.962,2.238
7,2012,2012-03-20.1659,test,5,5,2.013,2.722
7,2012,2012-03-20.1659,test,7,7,2.845,7.633
7,2012,2012-03-20.1659,test,12,43,1.125,2.539
7,2012,2012-03-20.1659,test,40,54,0.988,1.436
7,2012,2012-03-20.1659,test,90,22,1.136,1.754
7,2012,2012-03-20.1659,test,12,0,0.599,0.618
7,2012,2012-03-20.1659,test,60,54,0.727,1.219
